wo_number,work_dept,work_code,est_hrs,actual_hrs,hrs_variance,est_cost,job_cost,cost_variance,description,source_tier,source_file
1,0200,0200,2.0,0.0,-2.0,40.0,0.0,-40.0,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0200,0220,5.0,0.0,-5.0,100.0,0.0,-100.0,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0200,0280,2.0,0.0,-2.0,40.0,0.0,-40.0,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0300,0310,2.5,0.0,-2.5,50.0,0.0,-50.0,BALLAST WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0400,0410,1.5,0.0,-1.5,30.0,0.0,-30.0,CLEAN AND ETCH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0400,0420,1.5,0.0,-1.5,30.0,0.0,-30.0,PRIME AND FINISH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0500,0520,1.5,0.0,-1.5,30.0,0.0,-30.0,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,0500,0550,4.0,0.0,-4.0,80.0,0.0,-80.0,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,0200,0230,6.0,6.0,178.29,178.29,,,CHANNEL LETTERS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,0200,0260,3.0,3.0,125.46,125.46,,,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0100,0110,1.0,0.75,-0.25,42.46,29.68,-12.78,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0200,2.0,1.25,-0.75,84.92,36.19,-48.73,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0215,2.75,2.75,90.23,90.23,,,STRUCTURAL STEEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0230,16.0,17.75,1.75,679.36,582.37,-96.99,CHANNEL LETTERS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0235,3.0,2.75,-0.25,127.38,79.62,-47.76,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0260,14.0,8.25,-5.75,594.44,318.45,-275.99,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0200,0270,0.25,0.25,9.65,9.65,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0300,0310,4.5,0.0,-4.5,191.07,0.0,-191.07,BALLAST WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0500,0520,1.5,1.5,58.88,58.88,,,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0600,0610,1.0,11.0,10.0,57.2,576.68,519.48,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0600,0620,1.75,1.75,89.6,89.6,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0600,0630,8.25,8.25,432.23,432.23,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0600,0640,6.0,0.0,-6.0,686.4,0.0,-686.4,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,0600,9600,3.25,3.25,166.65,166.65,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,0200,1.0,0.75,-0.25,42.46,21.71,-20.75,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,0230,10.0,20.5,10.5,424.6,649.46,224.86,CHANNEL LETTERS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,0235,3.0,2.25,-0.75,127.38,65.14,-62.24,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,0260,14.0,11.0,-3.0,594.44,424.6,-169.84,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,0270,0.25,0.25,9.65,9.65,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0200,9200,2.0,2.0,57.9,57.9,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0300,0310,4.5,0.0,-4.5,191.07,0.0,-191.07,BALLAST WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0500,0520,0.75,0.75,29.43,29.43,,,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0600,0610,1.0,2.0,1.0,57.2,97.25,40.05,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0600,0620,1.0,1.0,47.6,47.6,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0600,0630,12.25,12.25,595.61,595.61,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0600,0640,6.0,0.0,-6.0,686.4,0.0,-686.4,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,0600,9600,1.25,1.25,60.78,60.78,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,5200,5200,4.25,4.25,164.05,164.05,,,CLEAN & MAINTAIN SHOP,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.3,0099,0098,0.5,0.5,20.27,20.27,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
