wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2012-12-19,Fin Closed,,,,221-0200,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,77950,"NAGLE SIGNS, INC.","Waterloo, IA",282.35,107.33,196.42,0.0,0.0,586.1,,,273.0,-313.1,-114.69,PLCUT,,,,2007-05-31,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",735.82,1067.41,1402.82,225.0,0.0,3431.05,5521.97,,5521.97,2090.92,37.87,CHANNL,IA77O7,Adam Fasselius,30662,2020-12-31,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",737.4,1017.25,1205.93,225.0,0.0,3185.58,5245.87,,5245.87,2060.29,39.27,CHANNL,IA77O7,Adam Fasselius,30663,2020-12-31,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.3,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",0.0,31.5,29.3,0.0,0.0,60.8,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30867,2020-12-31,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,18600,CAT SCALE,"MERIDIAN, MS",37142.67,88.25,82.08,2650.0,0.0,39963.0,62135.0,,62135.0,22172.0,35.68,PYLON,IC,,30897,2020-12-16,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,18600,CAT SCALE,"KANSAS CITY, MO",14669.02,5102.32,4745.36,2100.0,1243.2,27859.9,49323.0,,49323.0,21463.1,43.52,PYLON,MOKSCU,Adam Fasselius,30648,2021-02-22,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,18600,CAT SCALE,"KANSAS CITY, MO",0.0,120.13,111.72,4000.0,0.0,4231.85,5308.36,,5308.36,1076.51,20.28,INSTL,MOKSCU,Adam Fasselius,30726,2021-02-22,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.3,18600,CAT SCALE,"KANSAS CITY, MO",0.0,9.75,9.07,0.0,0.0,18.82,1506.0,,1506.0,1487.18,98.75,PYLON,MOKSCU,,31296,2021-02-22,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10003.1,77950,"NAGLE SIGNS, INC.","MARSHALLTOWN, IA",0.0,121.88,226.7,0.0,0.0,348.58,,,390.0,41.42,10.62,MISC,RESALE,,,2021-01-14,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
