work_code,description,source_tier,source_file,ingested_at
ADA,ADA SIGNS INTERIOR WAYFINDING,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
ALULIT,ALUMINUM CABINET LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
ALUNON,ALUMINUM CABINET NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
AWNILL,AWNING ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
AWNNON,AWNING NON-ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
AWNREC,AWNING RECOVER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
BANPRN,PRINTED BANNER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
BANSTK,STOCK BANNER - VINYL COPY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
BLANK,GRIMCO BLANK,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
BLDILL,SF BUILDING SIGN ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
BLDNON,SF BUILDING SIGN NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
CASMET,CAST METAL LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
CLLIT,CHANNEL LETTERS LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
CLNON,CHANNEL LETTERS NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
DIRECT,DIRECTIONAL,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
FFACE,"FACES, FORMED",4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:01:18.272868
