invoice_number,invoice_date,product_code,customer_id,customer_name,gross_sales,total_cost,gross_margin,gm_pct,extra_charge,Salesperson #1,Comm Rate #1,Salesperson #2,Comm Rate #2,Salesperson #3,Comm Rate #3,location_id,location_name,city,state,Unnamed: 20,source_tier,source_file,ingested_at
11722,2024-02-25,ALUM,3016.0,NW TRAILER,160.0,94.16,65.84,41.15,,,,,,,,DEFAULT,NEW WORLD TRAILER,ADEL,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
,,ALUM,,Product Totals,160.0,94.16,65.84,41.15,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11809,2024-04-17,BANNER,6237.0,CORINA KEELING,0.0,86.0,-86.0,,,,,,,,,DEFAULT,CORINA KEELING,NORWALK,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11810,2024-04-30,BANNER,6238.0,CHAD NELSON,35.0,33.0,2.0,5.71,,,,,,,,DEFAULT,CHAD NELSON,WEST DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
,,BANNER,,Product Totals,35.0,119.0,-84.0,-240.0,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11647,2024-01-31,MISC,77950.0,NAGLE SIGNS  INC.,202.93,147.73,55.2,27.2,,,,,,,,519,SUBWAY - NAGLE,WEST DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11873,2024-05-23,MISC,29800.0,COMMONWEALTH ELECTRIC,43.68,8.91,34.77,79.6,,,,,,,,DEFAULT,COMMONWEALTH ELECTRIC,Des Moines,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11919,2024-06-21,MISC,5943.0,MATT ZELIADT,40.0,0.0,40.0,100.0,,,,,,,,DEFAULT,MATT ZELIADT,DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11986,2024-08-19,MISC,4779.0,EAGLE SIGN CO.,0.0,790.55,-790.55,,,,,,,,,DEFAULT,EAGLE SIGN CO.,GRIMES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
12046,2024-10-09,MISC,4779.0,EAGLE SIGN CO.,0.0,69.21,-69.21,,,,,,,,,DEFAULT,EAGLE SIGN CO.,GRIMES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
,,MISC,,Product Totals,286.61,1016.4,-729.79,-254.63,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
11647,2024-01-31,PRMT,77950.0,NAGLE SIGNS  INC.,60.0,47.29,12.71,21.18,118.08,,,,,,,519,SUBWAY - NAGLE,WEST DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
,,PRMT,,Product Totals,60.0,47.29,12.71,21.18,118.08,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
SC8026,2024-06-06,REPFCE,4725.0,KEMIN INDUSTRIES,0.0,0.0,0.0,,,,,,,,,8,KEMIN INDUSTRIES,DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
,,REPFCE,,Product Totals,0.0,0.0,0.0,,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
SC7858,2023-12-31,SRVCE,77950.0,NAGLE SIGNS  INC.,210.0,205.92,4.08,1.94,,,,,,,,496,KWIK STAR # 1158 - NAGLE SIGNS,AMES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
SC7871,2023-12-31,SRVCE,77950.0,NAGLE SIGNS  INC.,108.03,99.06,8.97,8.3,,,,,,,,114,KUM & GO - NAGLE SIGNS,CLIVE,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2024.CSV,2026-01-30T11:07:09.757530
