inventory_type,Ven Nbr,Vendor Address                               ,Remit to                                     ,Contact Info                                 ,Terms,Last PO,Last Payment,source_tier,source_file,ingested_at
,3881.0,SIGNS INC                                    ,SAME                                         ,ROBERT TEASLEY                               ,Net 30,8932,Ck #003881,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,PO BOX 8609                                  ,                                             ,Ph : 706 569 9952                            ,,6/19/13,7/31/13,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,6100 COCA COLA BLVD                          ,                                             ,                                             ,,,"1,100.00",4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"COLUMBUS, GA 31908                           ",                                             ,                                             ,,,,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1006.0,FORBIN                                       ,SAME                                         ,Ph : 877-814-7485                            ,NET 10 DAYS,6036,Ck #1006,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,PO BOX 2817                                  ,                                             ,                                             ,,4/12/11,4/12/18,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"WATERLOO, IA 50704                           ",                                             ,                                             ,,,305.49,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1009.0,ATLANTIC SIGNS                               ,SAME                                         ,ALEX MAC LELLAN                              ,1% 10th of month net eom,1056,Ck #1009,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,120 ASHBARN ROAD / PO BOX 2324               ,                                             ,alex@atlanticsigns.com                       ,,5/16/07,6/25/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"ST. JOHN, NB e2J 2e2                         ",                                             ,Ph : 800 454 3444                            ,,,410.40,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,                                             ,                                             ,Fax: 506 633 5071                            ,,,,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1010.0,JAYME HEISELMAN                              ,SAME                                         ,                                             ,NET 30 DAYS,,Ck #1010,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,221 SW PARK AVE                              ,                                             ,                                             ,,,7/24/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"DES MOINES, IA 50315                         ",                                             ,                                             ,,,100.00,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1012.0,"S & B MAID-RITE, INC.                        ",MAID-RITE CORPORATION                        ,STEVEN R. SWANSON                            ,1% 10th of month net eom,,Ck #2755,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,SOUTHBRIDGE MALL                             ,2951 86TH ST                                 ,Ph : 641-494-7692                            ,,,5/22/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,100 S FEDERAL AVE                            ,100 S FEDERAL AVE                            ,                                             ,,,221.40,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"MASON CITY, IA 50401                         ","URBANDALE, IA 50322                          ",                                             ,,,,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1013.0,"MAID-RITE OF PELLA, INC.                     ",MAID-RITE CORPORATION                        ,LORI MULLEN                                  ,1% 10th of month net eom,,Ck #4032,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"1514 WASHINGTON, STE 104                     ",2951 86TH ST                                 ,Ph : 641-628-4447                            ,,,2/28/08,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"PELLA, IA 50219                              ","URBANDALE, IA 50322                          ",                                             ,,,"2,165.29",4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1015.0,STIVERS FORD                                 ,SAME                                         ,shawxby@stiversfordia.com                    ,NET 30 DAYS,25277,Ck #1015,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,1450 EAST HICKMAN RD.                        ,                                             ,Ph : 515 987 7233                            ,,7/18/25,6/26/25,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"WAUKEE, IA 50263                             ",                                             ,Fax: 515 987-0163                            ,,,800.51,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1016.0,JT RYERSON & SON INC                         ,SAME                                         ,JOSEPH BOLDUC                                ,1/2% / 10 DAYS N 30,24419,Ck #1016,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,24487 NETWORK PLACE                          ,                                             ,Joseph.Bolduc@ryerson.com                    ,,11/11/24,11/18/24,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"CHICAGO, IL 60673-1244                       ",                                             ,Ph : 763-531-4237                            ,,,588.65,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1018.0,TACO JOHN'S                                  ,SAME                                         ,                                             ,NET 30 DAYS,,Ck #2798,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,415 E SIOUX AVE                              ,                                             ,                                             ,,,6/6/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"PIERRE, SD 57501                             ",                                             ,                                             ,,,584.10,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1019.0,GENE GALLAGHER                               ,SAME                                         ,                                             ,NET 30 DAYS,,Ck #2803,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,2600 SAMPSON                                 ,                                             ,                                             ,,,6/12/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,"DES MOINES, IA 50313                         ",                                             ,                                             ,,,40.00,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,1021.0,TOWN OF GRAND CHUTE                          ,SAME                                         ,JOHN SIEBERT                                 ,NET 30 DAYS,,Ck #2846,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
,,1900 GRAND CHUTE BLVD                        ,                                             ,                                             ,,,6/18/07,4,H:\brady\BOT TRAINING\Eagle Data\Vendor Listing.csv,2026-01-30T11:07:09.430938
