linkToSalesperson_assoc_name,zip,phone,custNo,@ID,address,name,state,address_2,customer,linkToPymtTerms_assoc_desc,taxCode,contact,city,desc
Jeff Fye,50220,,5727,5727,98 WILLIS AVE,4 SEASONS MINI STORAGE & CAR WASH,IA,,"4 SEASONS MINI STORAGE & CAR WASH; 98 WILLIS AVE; PERRY, IA 50220",NET 30 DAYS,,,PERRY,
,50324,515 729 2138,2875,2875,953 73RD ST,3E,IA,,"3E; 953 73RD ST; WINDSOR HEIGHTS, IA 50324",NET 30 DAYS,"Wholesaler,Retailer,Mfg.",,WINDSOR HEIGHTS,
Jeff Fye,50312,,5897,5897,3801 GRAND AVE,3801 GRAND - A NEWBURY LIVING COMMUNITY,IA,,"3801 GRAND - A NEWBURY LIVING COMMUNITY; 3801 GRAND AVE; DES MOINES, IA 50312",NET 30 DAYS,,,DES MOINES,
Joe Phillips,50233,,2858,2858,1810 SOUTHWEST WHITE BIRCH CIRCLE,34'S SPORTS GRILL,IA,SUITE 115,"34'S SPORTS GRILL; 1810 SOUTHWEST WHITE BIRCH CIRCLE; SUITE 115; ANKENY, IA 50233",NET 30 DAYS,,Dallas Martz,ANKENY,
,50266,515 229 1084,5429,5429,249 S. 58TH CT.,3 SON'S CAR WASH,IA,,"3 SON'S CAR WASH; 249 S. 58TH CT.; WEST DES MOINES, IA 50266",NET 30 DAYS,,Ben Windust,WEST DES MOINES,
Joe Phillips,50021,,3299,3299,1605 SE DELAWARE,2ND WIND EXERCISE EQUIPMENT,IA,ANKENY BUSINESS PARK,"2ND WIND EXERCISE EQUIPMENT; 1605 SE DELAWARE; ANKENY BUSINESS PARK; ANKENY, IA 50021",NET 30 DAYS,,Derek Borchers,ANKENY,
,55416,912-544-5259,150,150,1345 Colorado Ave S,2ND WIND EXERCISE EQUIPMENT,MN,,"2ND WIND EXERCISE EQUIPMENT; 1345 Colorado Ave S; St. Louis Park, MN 55416",NET 30 DAYS,,,St. Louis Park,
Joe Phillips,50310,515-689-1254,2306,2306,2822 BEAVER AVE,24/7 X-PRESS,IA,,"24/7 X-PRESS; 2822 BEAVER AVE; DES MOINES, IA 50310",NET 30 DAYS,,Dave & Angie Ertl,DES MOINES,
,28217,704-909-4423,5128,5128,4944 PARKWAY PLAZA BLVD,23RD GROUP FACILITY SERVICES,NC,SUITE 400,"23RD GROUP FACILITY SERVICES; 4944 PARKWAY PLAZA BLVD; SUITE 400; CHARLOTTE, NC 28217",NET 30 DAYS,,,CHARLOTTE,
Jeff Fye,50036,,5507,5507,1504 S STORY ST.,21ST CENTURY REHAB,IA,SUITE 6,"21ST CENTURY REHAB; 1504 S STORY ST.; SUITE 6; BOONE, IA 50036",NET 30 DAYS,,Jason Horras,BOONE,
Jeff Fye,50125,,5505,5505,1507 N. 1ST ST.,21ST CENTURY REHAB,IA,,"21ST CENTURY REHAB; 1507 N. 1ST ST.; INDIANOLA, IA 50125",NET 30 DAYS,,,INDIANOLA,
Joe Phillips,50111,515-986-9667,3380,3380,270 W 1ST STREET,21ST CENTURY REHAB,IA,SUITE H,"21ST CENTURY REHAB; 270 W 1ST STREET; SUITE H; GRIMES, IA 50111",NET 30 DAYS,,,GRIMES,
,49512,616 656 4337,3726,3726,5390 CORPORATE GROVE BLVD. SE,2/90 SIGN SYSTEMS,MI,,"2/90 SIGN SYSTEMS; 5390 CORPORATE GROVE BLVD. SE; GRAND RAPIDS, MI 49512",NET 30 DAYS,Corporation,,GRAND RAPIDS,
Mike Ericson,50021,,3390,3390,"6950 NE 14TH ST, SUITE 36",2 FOR U DAYCARE,IA,,"2 FOR U DAYCARE; 6950 NE 14TH ST, SUITE 36; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
Jeff Fye,50111,,6001,6001,1101 E 1ST ST.,1ST STREET TAVERN,IA,SUITE 112,"1ST STREET TAVERN; 1101 E 1ST ST.; SUITE 112; GRIMES, IA 50111",NET 30 DAYS,,Kayla Lester,GRIMES,
Kent Reed,64116,816-421-2975,4192,4192,1412 GENTRY,1ST CHOICE COURIER & DISTRIBUTION,MO,,"1ST CHOICE COURIER & DISTRIBUTION; 1412 GENTRY; N. KANSAS CITY, MO 64116",NET 30 DAYS,,Terry Martin,N. KANSAS CITY,
Joe Phillips,50211,,5412,5412,9500 MARKET PLACE DR,1908 DRAUGHT HOUSE,IA,,"1908 DRAUGHT HOUSE; 9500 MARKET PLACE DR; NORWALK, IA 50211",NET 30 DAYS,,Tom Baldwin Jr.,NORWALK,
Joe Phillips,50266,,5187,5187,196 S. 50TH STREET,1908 DRAUGHT HOUSE,IA,,"1908 DRAUGHT HOUSE; 196 S. 50TH STREET; WEST DES MOINES, IA 50266",NET 30 DAYS,,Tom Baldwin,WEST DES MOINES,
Mike Ericson,50265,,4868,4868,1208 GRAND AVENUE,1515 MANAGEMENT COMPANY,IA,,"1515 MANAGEMENT COMPANY; 1208 GRAND AVENUE; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
Kent Reed,50309,,4198,4198,1440 LOCUST STREET,14 FORTY,IA,,"14 FORTY; 1440 LOCUST STREET; DES MOINES, IA 50309",NET 30 DAYS,,Brittany Gunderson,DES MOINES,
Joe Phillips,50321,515-256-8737,2582,2582,IOWA AIR NATIONAL GUARD,132ND FIGHTER WING,IA,3100 MCKINLEY AVENUE,"132ND FIGHTER WING; IOWA AIR NATIONAL GUARD; 3100 MCKINLEY AVENUE; DES MOINES, IA 50321",NET 30 DAYS,,David Noble,DES MOINES,
,50321,515 480 3510,3810,3810,3100 MCKINLEY AVE.,124 FIGHTER SQUADRON HERITAGE ROOM,IA,,"124 FIGHTER SQUADRON HERITAGE ROOM; 3100 MCKINLEY AVE.; DES MOINES, IA 50321",NET 30 DAYS,,Justin Rhode,DES MOINES,
Joe Phillips,50309-3612,,3017,3017,DBA FLOUR,"1220 LOCUST, LLC.",IA,1220 LOCUST ST,"1220 LOCUST, LLC.; DBA FLOUR; 1220 LOCUST ST; DES MOINES, IA 50309-3612",NET 30 DAYS,,Carly Groben,DES MOINES,
Joe Phillips,50263,,5511,5511,120 W HICKMAN,120 W HICKMAN LLC,IA,,"120 W HICKMAN LLC; 120 W HICKMAN; WAUKEE, IA 50263",NET 30 DAYS,,Derek Temple,WAUKEE,
,11590,516-237-6000,100,100,1600 Stewart Ave,"1-800-FLOWERS.COM, INC.",NY,,"1-800-FLOWERS.COM, INC.; 1600 Stewart Ave; Westbury, NY 11590",NET 30 DAYS,,,Westbury,
Joe Phillips,50313,,4617,4617,5609 N.E. 22ND STREET,A+ COMMUNICATIONS & SECURITY,IA,,"A+ COMMUNICATIONS & SECURITY; 5609 N.E. 22ND STREET; DES MOINES, IA 50313",NET 30 DAYS,,,DES MOINES,
Brian Thompson,50265,,500,500,West Glen Ave Of The Arts,A TOUCH OF ITALY,IA,,"A TOUCH OF ITALY; West Glen Ave Of The Arts; West Des Moines, IA 50265",NET 30 DAYS,,,West Des Moines,
Rich Thompson,50003,515 986 3986,5711,5711,309 S 7TH ST,A & W ELECTRIC INC,IA,,"A & W ELECTRIC INC; 309 S 7TH ST; ADEL, IA 50003",NET 30 DAYS,,,ADEL,
,99501,(907) 279-5508,450,450,2225 E 5th Ave,A & M RV CENTER,AK,,"A & M RV CENTER; 2225 E 5th Ave; Anchorage, AK 99501",NET 30 DAYS,,,Anchorage,
,50014,515-451-4300,400,400,2400 Ridgetop Circle,"A & D60P OF DES MOINES, INC.",IA,,"A & D60P OF DES MOINES, INC.; 2400 Ridgetop Circle; Ames, IA 50014",NET 30 DAYS,,,Ames,
Joe Phillips,50312,,5546,5546,3209 INGERSOLL AVENUE,"9TH STREET, LLC",IA,,"9TH STREET, LLC; 3209 INGERSOLL AVENUE; DES MOINES, IA 50312",NET 30 DAYS,,Deb Lawrence,DES MOINES,
Mike Ericson,90023,(323) 980-8145,350,350,4000 Union Pacific Ave,99 CENTS ONLY STORES,CA,,"99 CENTS ONLY STORES; 4000 Union Pacific Ave; City of Commerce, CA 90023",NET 30 DAYS,,,City of Commerce,
,50325,,5001,5001,SUITE 201,"8401 HICKMAN RD., INC.",IA,8350 HICKMAN RD.,"8401 HICKMAN RD., INC.; SUITE 201; 8350 HICKMAN RD.; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
Mike Ericson,50325,,5775,5775,SUITE 201,8401 HICKMAN RD. LLC,IA,8350 HICKMAN RD.,"8401 HICKMAN RD. LLC; SUITE 201; 8350 HICKMAN RD.; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
,15330,(724) 228-4094 %2C e,300,300,1019 Rte 519,84 LUMBER COMPANY,PA,,"84 LUMBER COMPANY; 1019 Rte 519; Eighty Four, PA 15330",NET 30 DAYS,,,Eighty Four,
Mike Ericson,50309,,5181,5181,SUITE 105,818 - A TINY DESIGN EMPIRE,IA,301 E. COURT AVE.,"818 - A TINY DESIGN EMPIRE; SUITE 105; 301 E. COURT AVE.; DES MOINES, IA 50309",NET 30 DAYS,,,DES MOINES,
Kent Reed,50211,515-779-7655,4416,4416,804 MAIN ST.,804 MAIN BAR & GRILL,IA,,"804 MAIN BAR & GRILL; 804 MAIN ST.; NORWALK, IA 50211",NET 30 DAYS,,Ann Dougherty,NORWALK,
,50309,515-288-6000,6272,6272,801 GRAND AVE,801 CHOPHOUSE DSM LOCATION,IA,STE 200,"801 CHOPHOUSE DSM LOCATION; 801 GRAND AVE; STE 200; DES MOINES, IA 50309",NET 30 DAYS,,,DES MOINES,
Kent Reed,50309,515 221 6626,4270,4270,325 SW 7TH STREET,7TH STREET BROWNSTONES,IA,,"7TH STREET BROWNSTONES; 325 SW 7TH STREET; DES MOINES, IA 50309",NET 30 DAYS,,Brittany Gunderson,DES MOINES,
Jeff Fye,79424,,6040,6040,13105 DOVER AVE,7B BUILDING & DEVELOPMENT,TX,,"7B BUILDING & DEVELOPMENT; 13105 DOVER AVE; LUBBOCK, TX 79424",NET 30 DAYS,,,LUBBOCK,
Kent Reed,50266,319-431-7629,4349,4349,STE #118,7 STONE PIZZERIA,IA,9350 UNIVERSITY AVE,"7 STONE PIZZERIA; STE #118; 9350 UNIVERSITY AVE; WEST DES MOINES, IA 50266",NET 30 DAYS,,Ed Horn,WEST DES MOINES,
,50325,515-278-8888,250,250,2100 NW 100th St,7 FLAGS FITNESS,IA,,"7 FLAGS FITNESS; 2100 NW 100th St; Clive, IA 50325",NET 30 DAYS,,,Clive,
