wo_number,material_date,work_dept,inventory_item,uom,est_qty,actual_qty,qty_variance,est_cost,job_cost,cost_variance,description,source_tier,source_file
1,,0200,201-0330              TU,BE,1,0,-1,2.98,0.0,-2.98,GE CLEAR SILICONE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0100              EA,,8,0,-8,5.71,0.0,-5.71,""" ALUMINUM GUSSETS",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0220              EA,,104,0,-104,93.6,0.0,-93.6,/,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0420              FT,,41,0,-41,3.03,0.0,-3.03,' GASKET TAPE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0430              EA,,2,0,-2,7.9,0.0,-7.9,GOODYEAR Z-BRACKETS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0500              EA,,12,0,-12,28.78,0.0,-28.78,""" ANGLE IRON BRACKETS - LAF IRONS",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0510              FT,,52,0,-52,426.4,0.0,-426.4,',3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0540              EA,,6,0,-6,7.02,0.0,-7.02,C-COVER CORNER FLASHING - L/A SCABS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0560              EA,,16,0,-16,9.28,0.0,-9.28,"LARGE ""A"" SPREADER BARS (Frame Supp",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0580              FT,,52,0,-52,182.0,0.0,-182.0,',3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-0610              FT,,104,0,-104,149.76,0.0,-149.76,',3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,202-1330              EA,,22,0,-22,9.46,0.0,-9.46,""" HAND HOLE COVER",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,203-0500              LF,,1,0,-1,1.15,0.0,-1.15,""" ALUM FLAT",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-0765              EA,,6,0,-6,0.99,0.0,-0.99,HHMS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-3278              EA,,2,0,-2,0.31,0.0,-0.31,""" Alum.Nuts",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-3280              EA,,24,0,-24,0.96,0.0,-0.96,HEX NUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-4312              EA,,35,0,-35,0.59,0.0,-0.59,""" TEK Screws",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-4320              EA,,20,0,-20,1.28,0.0,-1.28,""" TEK Screw w/ Rubb",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-4712              EA,,150,0,-150,3.6,0.0,-3.6,""" HWHSMS - Black",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-5380              EA,,2,0,-2,3.08,0.0,-3.08,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,214-5470              EA,,26,0,-26,1.3,0.0,-1.3,FLAT WASHERS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,216-0421              SF,,224,0,-224,108.64,0.0,-108.64,'sheet,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,219-1139              EA,,2,0,-2,27.12,0.0,-27.12,""" MATCH PLATE",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,219-1731              FT,,10,0,-10,17.9,0.0,-17.9,""" SQ STEEL TU",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,219-1841              FT,,12,0,-12,72.24,0.0,-72.24,""" SQUARE STEEL TUBING",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,221-0195              EA,,2,0,-2,976.0,0.0,-976.0,Cat Scale Face - Laminated,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,301-0150              EA,,5,0,-5,281.75,0.0,-281.75,BALLAST,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,302-0185              EA,,34,0,-34,6.02,0.0,-6.02,"""",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-0150              EA,,1,0,-1,3.24,0.0,-3.24,HUBS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-0180              EA,,1,0,-1,17.99,0.0,-17.99,VAC SW&WP CVR,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-0581              EA,,1,0,-1,0.22,0.0,-0.22,Ring Tongue,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-1240              EA,,2,0,-2,0.58,0.0,-0.58,""" LOCK NUT",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-1280              EA,,1,0,-1,0.38,0.0,-0.38,""" CHASE NIPPLE",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,303-1330              EA,,2,0,-2,2.21,0.0,-2.21,""" CHASE NIPPLE",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,306-1100              EA,,20,0,-20,55.8,0.0,-55.8,CW/HO LAMP,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,311-0860              EA,,40,0,-40,42.4,0.0,-42.4,/BOX,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,313-0334              FT,,30,0,-30,5.67,0.0,-5.67,V STRANDED WIRE MT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,313-0335              FT,,33,0,-33,6.23,0.0,-6.23,V STRANDED WIRE MT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,313-0465              EA,,85,0,-85,5.7,0.0,-5.7,WIRE NUTS O/B+,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,404-0270              OZ,,40,0,-40,23.96,0.0,-23.96,BRITE WHITE PRIMER,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,404-0300              OZ,,8,0,-8,6.48,0.0,-6.48,Reducer***,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,405-0121              OZ,,32,0,-32,30.15,0.0,-30.15,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,506-0600              SF,,120,0,-120,11.91,0.0,-11.91,"""",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1,,0200,508-3555              SF,,116,0,-116,247.95,0.0,-247.95,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,2007-05-09,,215-0140,,,37.0,,,105.36,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,,,215-0140              SF,,37,37,105,105.36,118.0,,CLEAR LEXAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,2007-05-09,,215-0210,,,54.0,,,176.99,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,,,215-0210              SF,,54,54,176,176.99,177.0,,CLEAR LEXAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,2020-12-28,,201-0275,,,2.0,,,3.12,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,,,201-0275              TU,BE,2,2,3,3.12,40.0,,YR SILICONE ACRYLIC LATEX WHITE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,2020-12-29,,201-0290,,,15.0,,,10.57,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,,,201-0290              OZ,,15,15,10,10.57,16.0,,WELD ON PLASTIC CEMENT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,2020-11-25,,205-0111,,,40.0,,,65.6,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,,,205-0111              SF,,40,40,65,65.6,40.0,,""" BLACK/WHITE ALUM VM",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
