wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2012-12-19,Fin Closed,,,,221-0200,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1000.1,77950,"NAGLE SIGNS, INC.","Waterloo, IA",282.35,107.33,196.42,0.0,0.0,586.1,,,273.0,-313.1,-114.69,PLCUT,,,,2007-05-31,Fin Closed,,TM - Time & Materials,"@panforming / Furnish (3) 24 1/2"" X 36"", .118"" Clear Panformed Lexan Faces, 2"" Flange With Standard PAn",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",735.82,1067.41,1402.82,225.0,0.0,3431.05,5521.97,,5521.97,2090.92,37.87,CHANNL,IA77O7,Adam Fasselius,30662,2020-12-31,Fin Closed,CLLIT,,@30662 / SOUTH ELEVATION: Fabricate and install set of remote flush mounted LED illuminated channel letters. Reference Eagle sketch 1020-30662-01.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",737.4,1017.25,1205.93,225.0,0.0,3185.58,5245.87,,5245.87,2060.29,39.27,CHANNL,IA77O7,Adam Fasselius,30663,2020-12-31,Fin Closed,CLLIT,,@30663 / EAST ELEVATION: Fabricate and install set of remote flush mounted LED illuminated channel letters. Reference Eagle sketch 1020-30663-01. (NOTE: 5% DISOUNT FOR THE SECOND IDENTICAL SET IF ORDERED AND INSTALLED AT THE SAME TIME AS THE FIRST SET).,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.3,5753,ANNA DOLCE RISTORANTE,"WEST DES MOINES, IA",0.0,31.5,29.3,0.0,0.0,60.8,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30867,2020-12-31,Fin Closed,CLLIT,,@30867 / Staff time for permitting.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,18600,CAT SCALE,"MERIDIAN, MS",37142.67,88.25,82.08,2650.0,0.0,39963.0,62135.0,,62135.0,22172.0,35.68,PYLON,IC,,30897,2020-12-16,Fin Closed,POLLIT,,@30897 / (4) LED 115mph/standard packages; (1) 5x20 sign; (1) intercom sign,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,18600,CAT SCALE,"KANSAS CITY, MO",14669.02,5102.32,4745.36,2100.0,1243.2,27859.9,49323.0,,49323.0,21463.1,43.52,PYLON,MOKSCU,Adam Fasselius,30648,2021-02-22,Fin Closed,POLLIT,,"@30648 / Fabricate Canopy, four sided - (2) 5´ 4 1/2"" x 20´ single face Small A-frame cabinets on front and back (front and back to have custom CAT graphics), with yellow color flex faces, internal LED illumination; (2) 5´ 4 1/2"" x 10´ x .080 panels on aluminum square tube frames mounted on both ends of canopy, non-illuminated, painted to match CAT Scale Yellow; mounted on (2) poles; support steel structure with drainage system and .080 soffit (black on underside and white on top); wire mesh over top; (6) LED lights installed on underside of canopy. MO Use Tax on materials is included in our price. (engineering, installation, permits and shipping are not included)",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,18600,CAT SCALE,"KANSAS CITY, MO",0.0,120.13,111.72,4000.0,0.0,4231.85,5308.36,,5308.36,1076.51,20.28,INSTL,MOKSCU,Adam Fasselius,30726,2021-02-22,Fin Closed,POLLIT,,@30726 / canopy installation; anchor bolts set by CAT Scale,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.3,18600,CAT SCALE,"KANSAS CITY, MO",0.0,9.75,9.07,0.0,0.0,18.82,1506.0,,1506.0,1487.18,98.75,PYLON,MOKSCU,,31296,2021-02-22,Fin Closed,POLLIT,,@31296 / (1) Intercom Sign,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10003.1,77950,"NAGLE SIGNS, INC.","MARSHALLTOWN, IA",0.0,121.88,226.7,0.0,0.0,348.58,,,390.0,41.42,10.62,MISC,RESALE,,,2021-01-14,Fin Closed,,TM - Time & Materials,"@tm / Install "" Golden Arches"" faces in the pole sign.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
