Eagle Sign Company,Unnamed: 1,Unnamed: 2,Unnamed: 3,source_tier,source_file,ingested_at
STATUS AS OF 01/02/25,,,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
,,,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
Part Number,Inv Type,Part Description,UOM,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
,,,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
******,BALLST,BALLASTS,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0185,BALLST,ADVANCE ISB 104014E,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0220,BALLST,175W METAL HALIDE MT BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0240,BALLST,250W MH MULTI TAP BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0245,BALLST,400W MH M59 MULTI TAP BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0260,BALLST,400W METAL HALIDE MT BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0290,BALLST,320 PULSE START BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-0330,BALLST,MH1000W MULTI TAP BALLAST,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-1302,BALLST,KTSB-E-0416-12 Keystone Electronic Ballast,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-1303,BALLST,KTSB-E-1232-24 Keystone Electronic Ballast,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
301-1304,BALLST,KTSB-E-2048-46 Keystone Electronic Ballast,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
,,,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
******,ELECT,ELECTRICAL,,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0100,ELECT,BX ARMOR CABLE #12/3,FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0140,ELECT,HIGH VOLTAGE CABLE GTO,FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0180,ELECT,BX CLAMP/ARMOR CABLE,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0186,ELECT,"3/4"" Cable Clamp",EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0187,ELECT,Heyco Wavelock clip,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0231,ELECT,HEYCO 1029 mounting bracket,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0445,ELECT,"3/8"" ALUMINUM GREENFIELD CONDUIT",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0450,ELECT,"3/4"" ALUMINUM GREENFIELD CONDUIT",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0460,ELECT,"1/2"" ALUMINUM GREENFIELD CONDUIT 100 FT BUNDLE",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0570,ELECT,"1/2"" LIQUITITE CONDUIT",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0580,ELECT,"1/2"" LIQUITITE CONDUIT 100 FT BUNDLE",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-0621,ELECT,"3/4"" Heyco 8452 black conduit",FT,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
302-1150,ELECT,3M STD CABLE TIES/NYLON,EA,4,C:\Users\Brady.EAGLE\OneDrive - Eagle Sign Co\BRADYF_STOCK.STATUS.xlsx,2026-01-30T11:01:19.035043
