Unnamed: 0,Eagle Sign Company,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,source_tier,source_file,ingested_at
2025-06-25 00:00:00,USAGE REPORT FOR MANUFACTURED PARTS,,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
,,,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
Part Number,Description,Inv Type,UOM,Conv Fact,Pur UOM,Whse,Sfty Stk,Last PO Price,Sales Cd,Acctg Cost,Year,YTD Usage,    JAN,    FEB,    MAR,    APR,    MAY,    JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
,,,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-0100,"3"" ALUMINUM GUSSETS",FALEXT,EA,1,EA,20,,,,2.0679,2024,790,88,88,48,32,40,88,104,40,40,104,48,70,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-0500,"8"" ANGLE IRON BRACKETS - LAF IRONS",FALEXT,EA,1,EA,20,,,,5.53709,2024,1176,132,132,72,48,60,136,156,60,60,156,64,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-0540,C-COVER CORNER FLASHING - L/A SCABS,FALEXT,EA,1,EA,20,,,,1.17,2024,698,66,66,36,24,134,72,78,30,30,78,30,54,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-0560,"LARGE ""A"" SPREADER BARS (Frame Support)",FALEXT,EA,1,EA,20,,,,1.58715,2024,1520,176,176,96,64,80,160,208,80,80,208,80,112,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-0860,"SMALL ""A"" SPREADER BARS",FALEXT,EA,1,EA,20,,,,0.22,2024,72,,,,,,40,,,32,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
202-1270,RACEWAY SPREADER BARS,FALEXT,EA,1,EA,20,,,,2.69,2024,20,,,,,,,16,,,4,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\MFG PARTS 2024.xlsx,2026-01-30T11:06:08.877796
