Unnamed: 0,Eagle Sign Company,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,source_tier,source_file,ingested_at
2025-06-25 00:00:00,USAGE REPORT FOR PURCHASED PARTS,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
,,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
Part Number,Description,Inv Type,UOM,Conv Fact,Pur UOM,Whse,Last PO Price,Sales Cd,Acctg Cost,Year,YTD Usage,    JAN,    FEB,    MAR,    APR,    MAY,    JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
,,,,,,,,,,,,,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0100,406/19 LORD PAK ADHESIVE,FADHES,TUBE,1,TUBE,20,74.07,,74.07,2024,50,8,,2,1,4,4,2,5,6,12,,6,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0112,Lord Adhesive 7550,FADHES,TUBE,1,TUBE,20,29.85,,29.85,2024,8,,,1,,,2,3,2,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0130,3M ADHESIVE REMOVER #08984,FADHES,OZ,32,QT,20,0.47594,,0.47594,2024,4,,,,,,,2,2,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0170,BROWN CAULKING,FADHES,TUBE,1,TUBE,20,,,2.47,2024,2,,,2,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0275,40 YR SILICONE ACRYLIC LATEX WHITE CAULK ,FADHES,TUBE,1,TUBE,20,8.6454,,8.98,2024,51,1,2,5,8,5,4,5,8,4,5,,4,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0290,#16 WELD ON PLASTIC CEMENT ,FADHES,OZ,1,OZ,20,1.06742,,1.06,2024,307,61,,110,,,51,,,55,30,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0294,#58 WELD ON PLASTIC CEMENT ,FADHES,OZ,1,OZ,20,14.0581,,0.70492,2024,31,,,,,,8,,3,4,,,16,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0330,SCS1001 GE CLEAR SILICONE,FADHES,TUBE,1,TUBE,20,8.6456,,2.9808,2024,6,,,3,,1,,,,,,,2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
201-0340,81911 CLEAR SILICONE,FADHES,TUBE,1,TUBE,20,9.60833,,3.7983,2024,192,23,23,10,13,10,18,18,21,10,23,8,15,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0140,TYPE II BACK ADAPTER - 26',FALEXT,FT,26,PC,20,1.09,,0.69,2024,24,,,,24,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0150,BLEED TRIM ABC Extr.- 26',FALEXT,FT,26,PC,20,1.92308,,1.04,2024,28,,,,,28,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0160,ABC CONE CUPS,FALEXT,EA,1,EA,20,,,1.4,2024,6,,,6,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0185,"1-1/2"" CONVENTIONAL DIVIDER BAR - 26'",FALEXT,LF,26,PC,20,2.21,,2.26,2024,393,45,30,21,9,21,45,45,39,30,69,15,24,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0190,"1-3/4"" SMALL DIVIDER BAR - 26'",FALEXT,FT,26,PC,20,4.68256,,2.81,2024,92,,,,,92,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0220,ABC FLEXIBLE FACE TENSIONERS - 500/BOX,FALEXT,EA,500,BX,20,1.28,,1.28,2024,21080,2080,2288,1580,1456,1506,1664,2548,1310,832,2280,1456,2080,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0250,TYPE IV END FRAME ABC- 26',FALEXT,FT,26,PC,20,2.52,,2.31,2024,140,,9,1,12,8,,,56,26,,28,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0340,THRIF-T FRAME,FALEXT,FT,26,PC,20,4.86,,5.15,2024,238,,104,,36,,,,,98,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0350,"12"" CONVENTIONAL FRAME - 26'",FALEXT,FT,26,PC,20,10.26,,10.71,2024,188,,13,,26,43,,34,26,20,6,20,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0360,TYPE I FRAME (10)- 26',FALEXT,FT,26,PC,20,7.08462,,7.15,2024,1689,222,130,91,63,104,195,195,91,130,299,65,104,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0390,TYPE IV UNIT FRAME - 26',FALEXT,FT,26,PC,20,6.62923,,4.54,2024,90,,17,17,19,28,,,,9,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0420,"1/8"" X 1/2"" X 50' GASKET TAPE ",FALEXT,FT,1,FT,20,0.14377,,0.14377,2024,4693,466,861,303,167,212,525,548,210,215,474,317,395,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0425,"1/8"" X 1 1/2""  GASKET TAPE ",FALEXT,FT,50,RL,20,0.44067,,0.26,2024,450,,,,150,,,,150,,,,150,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0431,"LARGE ""A"" Z-BRACKET",FALEXT,EA,1,EA,20,4.94,,3.95,2024,198,22,22,12,8,10,24,26,10,10,26,10,18,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0460,PNEUMATIC HINGE PROP CYL,FALEXT,EA,1,EA,20,23,,15,2024,2,2,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0510,"LARGE ""A"" FLEXFRAME - 26'",FALEXT,FT,26,PC,20,12.44,,12.44,2024,4932,572,572,312,208,260,512,676,260,260,676,260,364,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0530,"LARGE ""A"" BACK ADAPTER - 26'",FALEXT,FT,26,PC,20,,,1.4,2024,37,,,,,37,,,,,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0580,"LARGE ""A"" C-COVER ABC- 26'",FALEXT,FT,26,PC,20,5.3,,5.3,2024,5045,572,572,312,208,340,528,676,277,260,676,260,364,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0610,"2-1/2"" FLAT RETAINER ABC- 26'",FALEXT,FT,26,PC,20,2.2,,2.24,2024,10248,1144,1144,624,416,520,1128,1460,520,582,1358,520,832,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0620,TYPE III FLAT RETAINER ABC,FALEXT,FT,26,PC,20,1.11218,,1,2024,221,,52,,36,,,,36,97,,,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0680,2 TYPE I FLAT RETAINER - 26',FALEXT,LF,26,PC,20,1.57,,1.58,2024,3289,390,260,182,102,195,390,390,184,260,598,130,208,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0690,2 LG E-Z RETAINER - 26',FALEXT,LF,26,PC,20,1.99,,2.01,2024,464,,26,,52,86,156,,52,20,32,40,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
202-0710,TYPE IV RETAINER - 26',FALEXT,LF,26,PC,20,0.71,,0.71,2024,379,,65,2,24,16,,,138,52,,82,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\PURCHASED PARTS 2024.xlsx,2026-01-30T11:06:08.970554
