work_code,description,source_tier,source_file,ingested_at
ADA,ADA SIGNS INTERIOR WAYFINDING,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
ALULIT,ALUMINUM CABINET LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
ALUNON,ALUMINUM CABINET NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
AWNILL,AWNING ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
AWNNON,AWNING NON-ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
AWNREC,AWNING RECOVER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
BANPRN,PRINTED BANNER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
BANSTK,STOCK BANNER - VINYL COPY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
BLANK,GRIMCO BLANK,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
BLDILL,SF BUILDING SIGN ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
BLDNON,SF BUILDING SIGN NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
CASMET,CAST METAL LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
CLLIT,CHANNEL LETTERS LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
CLNON,CHANNEL LETTERS NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
DIRECT,DIRECTIONAL,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
FFACE,"FACES, FORMED",4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
FLAG,FLAGS & FLAG POLES,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
FORMED,FORMED ALUMINUM,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
GEMINI,GEMINI LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
ILLUM,ILLUMINATED CABINET ALUMINUM,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
JOBPRN,JOB SITE SIGN PRINTED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
JOBVIN,JOB SITE SIGN VINYL APPLIED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
LED,LED LIGHTING,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
LETPLA,FORMED PLASTIC LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
MAGNET,MAGNETIC SIGNS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
MILLIK,MILLIKEN FRAME COOLEY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
MONDF,MONUMENT SIGN DF,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
MONSF,MONUMENT SIGN SF,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
NEON,NEON,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
OTHER,MISCELLANEOUS SIGN,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:06:08.431279
