invoice_number,invoice_date,product_code,customer_id,customer_name,gross_sales,total_cost,gross_margin,gm_pct,extra_charge,Salesperson #1,Comm Rate #1,Salesperson #2,Comm Rate #2,Salesperson #3,Comm Rate #3,location_id,location_name,city,state,Unnamed: 20,source_tier,source_file,ingested_at
SC7575,2023-05-09,INSTL,77950.0,NAGLE SIGNS  INC.,140.0,128.71,11.29,8.06,,,,,,,,437,IOWA VALLEY COMMUNITY COLLEGE CAMPUS - NAGLE SGINS,MARSHALLTOWN,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
,,INSTL,,Product Totals,140.0,128.71,11.29,8.06,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
11013,2022-12-08,MISC,5542.0,UNISHIPPERS,495.09,295.38,199.71,40.34,,,,,,,,DEFAULT,TSS,Warren,MI,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
11248,2023-05-03,MISC,6109.0,REIS SIGN SERVICE,35.0,11.1,23.9,68.29,,,,,,,,DEFAULT,REIS SIGN SERVICE,WINTERSET,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
11354,2023-08-10,MISC,5866.0,TIMBER CREEK THERAPIES,154.5,103.0,51.5,33.33,-165.32,,,,,,,DEFAULT,TIMBER CREEK THERAPIES,GUTHRIE CENTER,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
11379,2023-09-06,MISC,4779.0,EAGLE SIGN CO.,0.0,472.64,-472.64,,,,,,,,,DEFAULT,EAGLE SIGN CO.,GRIMES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
11431,2023-08-17,MISC,6109.0,REIS SIGN SERVICE,87.8,44.4,43.4,49.43,,,,,,,,DEFAULT,REIS SIGN SERVICE,WINTERSET,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
,,MISC,,Product Totals,772.39,926.52,-154.13,-19.95,-165.32,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
SC7490,2023-01-31,SRVCE,77950.0,NAGLE SIGNS  INC.,192.5,176.98,15.52,8.06,,,,,,,,461,KWIK STAR # 1068,STORY CITY,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
SC7659,2023-07-27,SRVCE,5033.0,TIME O MATIC- WATCHFIRE,0.0,0.0,0.0,,,,,,,,,4,SUCCESS BANK - WATCHFIRE,BLOOMFIELD,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
SC7668,2023-06-16,SRVCE,6105.0,HAYE'S DESIGN COMPANY,0.0,391.3,-391.3,,,,,,,,,1,BECK´S,BAYARD,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
,,SRVCE,,Product Totals,192.5,568.28,-375.78,-195.21,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
SC7372,2022-11-04,WARMFG,3340.0,MITCHELL FAMILY FUNERAL HOME,0.0,64.35,-64.35,,,,,,,,,DEFAULT,MITCHELL FAMILY FUNERAL HOME,MARSHALLTOWN,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
SC7607,2023-05-11,WARMFG,5330.0,SMASH PARK,0.0,96.53,-96.53,,,,,,,,,DEFAULT,SMASH PARK,WEST DES MOINES,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
,,WARMFG,,Product Totals,0.0,160.88,-160.88,,0.0,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
,,,,Salesperson  Totals,1104.89,1784.39,-679.5,-61.5,-165.32,,,,,,,,,,,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
10841,2023-02-17,CHANNL,77950.0,NAGLE SIGNS  INC.,21542.58,12308.1,9234.48,42.87,,HOUSE,,,,,,403,LAKESIDE CASINO - NAGLE SIGNS,OSCEOLA,IA,,4,H:\brady\BOT TRAINING\Sales\GM by Salesperson\BRADYF_GM_SALESPERSON 2023.CSV,2026-01-30T11:07:09.857341
