part_number,description,inventory_type,sales_code,lead_code,engr_status,warehouse_location,qty_on_hand,uom,unit_price,acctg_cost,source_tier,source_file,ingested_at
201-0100,406/19 LORD PAK ADHESIVE,FADHES,,P,A,,7.0,TUBE,129.6225,74.07,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0110,7542A/B 50ML SM LORD PACK ADH.,FADHES,,P,A,,0.0,TUBE,14.45,8.3625,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0112,Lord Adhesive 7550,FADHES,,P,A,,5.0,TUBE,52.2375,29.85,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0130,3M ADHESIVE REMOVER #08984,FADHES,,P,A,,48.0,OZ,0.8329,0.47594,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0150,BLACK CAULKING,FADHES,,P,A,,1.0,TUBE,9.48,4.4,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0170,BROWN CAULKING,FADHES,,P,A,,1.0,TUBE,4.32,2.47,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0200,LIMESTONE CAULKING NP-1,FADHES,,P,A,,0.0,TUBE,5.69,3.2533,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0275,40 YR SILICONE ACRYLIC LATEX WHITE CAULK,FADHES,,P,A,,-1.0,TUBE,15.715,8.98,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0280,25 YR WHITE CAULKING,FADHES,,P,A,,60.0,TUBE,9.34,3.1565,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0285,#3 WELD ON PLASTIC CEMENT,FADHES,,P,A,,240.0,OZ,1.6841,0.96234,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0290,#16 WELD ON PLASTIC CEMENT,FADHES,,P,A,20.0,356.0,OZ,1.855,1.06,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0292,#16 WELD ON CLEAR PLASTIC CEMENT,FADHES,,P,A,,0.0,OZ,0.52322,0.3171,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0294,#58 WELD ON PLASTIC CEMENT,FADHES,,P,A,20.0,25.0,OZ,1.23361,0.70492,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0330,SCS1001 GE CLEAR SILICONE,FADHES,,P,A,,1.0,TUBE,8.22,2.9808,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0340,81911 CLEAR SILICONE,FADHES,,P,A,,29.0,TUBE,8.66,3.7983,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
201-0350,SCS1202 GE WHITE SILICONE,FADHES,,P,A,,0.0,TUBE,7.89,3.6154,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
202-0100,"3"" ALUMINUM GUSSETS",FALEXT,,M,A,,71.0,EA,3.61883,2.0679,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
202-0110,BOLT TOGETHER ANGLES,FALEXT,,P,A,,0.0,EA,3.5,2.0,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
202-0140,TYPE II BACK ADAPTER - 26',FALEXT,,P,A,,42.0,FT,2.31,1.32,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Inventory List_Active.csv,2026-01-30T11:07:07.658302
