work_code,description,work_dept,source_tier,source_file,ingested_at
98,PERMIT SUBMITTED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
99,PERMIT RECEIVED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
110,SKETCHING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
120,PRINTING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
130,LAYOUT,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
200,FABRICATION LAYOUT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
210,SHEET METAL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
215,STRUCTURAL STEEL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
220,EXTRUSIONS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
230,CHANNEL LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
235,ROUTING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
240,FLAT CUT OUT LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
250,AWNINGS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
260,FACES,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
270,MISC FABRICATION,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
280,CRATING & SHIPPING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
282,CHECK IN FREIGHT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
310,BALLAST WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
315,NEON PATTERN,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
320,NEON WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
330,NEON BENDING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
340,ELECTRICAL WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
410,CLEAN AND ETCH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
420,PRIME AND FINISH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
430,SPRAY PAINTING FACES,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
510,LAYOUT,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
520,CUT AND/OR WEED VINYL,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
530,PRINTED GRAPHICS,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
550,VINYL APPLICATION,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
605,FOOTING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
610,LOAD/UNLOAD,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
612,INSTALL - NO CRANE,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
615,WIRING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
620,TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
