Prod Type,description,Count,Gross Sales (Total),Total Cost (Total),gross_margin,gm_pct,source_tier,source_file,ingested_at
ADA,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ADA' target='_blank'>ADA SIGNAGE</a>,8,"3,590.43","1,610.34",1980.09,55.1,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
FRT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FRT' target='_blank'>FREIGHT - SHIPPING CHARGES</a>,183,"74,572.55","34,070.30",40502.25,54.3,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
BANNER,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=BANNER' target='_blank'>BANNERS</a>,227,"226,098.75","115,330.38",110768.37,49.0,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
REPFCE,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=REPFCE' target='_blank'>REPLACEMENT FACES</a>,"1,392","3,625,601.81","1,857,665.74",1767936.07,48.8,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
GRAVEH,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=GRAVEH' target='_blank'>VEHICLE GRAPHICS</a>,27,"25,694.63","13,300.65",12393.98,48.2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
FALU,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FALU' target='_blank'>FORMED ALUMINUM</a>,8,"16,056.31","8,799.82",7256.49,45.2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
RTLT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=RTLT' target='_blank'>ROUTED LETTERS</a>,226,"499,869.52","274,582.16",225287.36,45.1,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
FLAG,"<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FLAG' target='_blank'>FLAGS, FLAG POLES & ACCESSORIES</a>",37,"70,005.02","39,340.56",30664.46,43.8,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
LIFTS,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=LIFTS' target='_blank'>CRANE SERVICE</a>,39,"15,161.75","8,777.12",6384.63,42.1,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
CASTMT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=CASTMT' target='_blank'>CAST METAL LETTERS</a>,52,"129,901.58","75,776.96",54124.62,41.7,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
