"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""11642.2""","""@36591 / IOWA CONFLUENCE WATER""","2","0","2065.68","1044.54","1253.46","","","0.00","4363.68","256.20","694.82","0.00","","160.00","0.00","1111.02","3252.66","","","1974.52","43.73","01/10/24","5539","PETERSON CONTRACTORS INC","","0.00","0.00","4363.68","","","16.000","47.500"
"""11642.3""","""@36593 / IOWA CONFLUENCE WATER""","1","0","7829.18","460.01","755.61","","837.00","0.00","9881.80","120.31","2941.05","0.00","","13033.00","0.00","16094.36","-6212.56","","","25369.65","36.56","01/10/24","5539","PETERSON CONTRACTORS INC","","0.00","0.00","9881.80","","","59.000","19.500"
"""11642.4""","""@36594 / IOWA CONFLUENCE WATER""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","82.41","0.00","","150.00","0.00","232.41","-232.41","","","350.32","33.66","01/10/24","5539","PETERSON CONTRACTORS INC","","0.00","0.00","0.00","","","2.000",""
"""11642.5""","""@36595 / IOWA CONFLUENCE WATER""","2","0","3402.25","230.63","250.41","","","0.00","3883.29","120.31","2333.09","0.00","","5067.98","0.00","7521.38","-3638.09","","","11893.84","36.76","01/10/24","5539","PETERSON CONTRACTORS INC","","0.00","0.00","3883.29","","","45.000","10.250"
"""12179.2""","""@38414A / Hope Plaza 3""","2","0","13680.92","2214.86","3138.54","","-2500.00","0.00","16534.32","5177.50","8815.15","0.00","","600.00","0.00","14592.65","1941.67","","","25290.62","42.30","12/15/24","5889","HOPE DEVELOPMENT AND REALTY","","0.00","0.00","16534.32","","","177.000","98.000"
"""12179.3""","""@38462 / Hope Plaza 3""","1","0","0.00","47.50","47.46","","","0.00","94.96","0.00","0.00","0.00","","","0.00","0.00","94.96","","","150.00","100.00","12/15/24","5889","HOPE DEVELOPMENT AND REALTY","","0.00","0.00","94.96","","","0.000","2.000"
"""12179.4""","""@38413A / Hope Plaza 3""","1","0","15665.96","719.65","1187.48","","","0.00","17573.09","5041.03","7085.72","0.00","","500.00","0.00","12626.75","4946.34","","","22072.05","42.79","05/01/25","5889","HOPE DEVELOPMENT AND REALTY","","0.00","0.00","17573.09","","","142.000","31.500"
"""12248.1""","""@38761 / Members 1st Community""","1","0","988.41","80.38","121.91","","","0.00","1190.70","29.00","596.93","0.00","","964.46","0.00","1590.39","-399.69","","","2641.09","39.78","03/15/25","6327","MEMBERS 1ST COMMUNITY CREDIT UNION","","0.00","0.00","1190.70","","","11.000","3.250"
"""12530.1""","""@39393 / City of Des Moines/ P""","1","0","8529.64","944.77","1146.04","","8300.00","0.00","18920.45","370.17","3804.64","0.00","","13240.26","0.00","17415.07","1505.38","","","25772.80","32.43","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","18920.45","","","71.500","43.750"
"""12530.2""","""@39394 / City of Des Moines/ P""","1","0","7724.37","1375.88","1784.34","","8300.00","0.00","19184.59","370.17","3804.64","0.00","","14996.98","0.00","19171.79","12.80","","","28210.68","32.04","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","19184.59","","","71.500","59.750"
"""12530.3""","""@39396 / City of Des Moines/ P""","1","0","7595.13","929.63","1125.68","","8300.00","0.00","17950.44","370.17","3804.64","0.00","","13628.02","0.00","17802.83","147.61","","","26400.97","32.57","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","17950.44","","","71.500","42.750"
"""12530.4""","""@39397 / City of Des Moines/ P""","1","0","7911.14","1113.65","1469.38","","8300.00","0.00","18794.17","370.17","3804.64","0.00","","15213.06","0.00","19387.87","-593.70","","","28560.73","32.12","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","18794.17","","","71.500","51.500"
"""12530.5""","""@39398 / City of Des Moines/ P""","1","0","0.00","7.50","6.11","","","0.00","13.61","58.00","1446.89","0.00","","8622.62","0.00","10127.51","-10113.90","","","14016.66","27.75","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","13.61","","","17.000","0.250"
"""12530.6""","""@39399 / City of Des Moines/ P""","1","0","6961.99","427.63","442.78","","8300.00","0.00","16132.40","334.65","3546.65","0.00","","12585.40","0.00","16466.70","-334.30","","","24196.75","31.95","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","16132.40","","","66.000","18.000"
"""12530.7""","""@39400 / City of Des Moines/ P""","1","0","4362.36","616.88","723.57","","","0.00","5702.81","277.20","2149.37","0.00","","3915.34","0.00","6341.91","-639.10","","","10589.30","40.11","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","5702.81","","","41.500","26.750"
"""12530.8""","""@39401 / City of Des Moines/ P""","1","0","10633.38","896.25","1088.62","","","0.00","12618.25","0.00","0.00","0.00","","","0.00","0.00","12618.25","","","29174.36","100.00","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","12618.25","","","0.000","39.750"
"""12530.9""","""@39402 / City of Des Moines/ P""","1","0","4749.71","229.00","275.89","","","0.00","5254.60","1277.20","2217.41","0.00","","3431.16","0.00","6925.77","-1671.17","","","11766.48","41.14","11/26/25","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","","0.00","0.00","5254.60","","","43.000","8.500"
"""12554.2""","""@39822 / Integrated Psychiatry""","1","0","5300.03","429.38","837.65","","","0.00","6567.06","541.72","1828.70","0.00","","3043.00","0.00","5413.42","1153.64","","","9096.36","40.49","11/12/25","6387","INTEGRATED PSYCHIATRY","","0.00","0.00","6567.06","","","25.500","18.000"
"""12554.3""","""@39981 / Integrated Psychiatry""","1","0","1260.78","442.53","669.40","","","0.00","2372.71","319.65","631.56","0.00","","1199.38","0.00","2150.59","222.12","","","3441.54","37.51","11/12/25","6387","INTEGRATED PSYCHIATRY","","0.00","0.00","2372.71","","","10.750","19.750"
"""12554.4""","""@39923 / Integrated Psychiatry""","1","0","0.00","37.88","41.06","","","0.00","78.94","0.00","0.00","0.00","","","0.00","0.00","78.94","","","200.00","100.00","11/12/25","6387","INTEGRATED PSYCHIATRY","","0.00","0.00","78.94","","","0.000","1.500"
"""12600.5""","""@40252 / CAT SCALE""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","8325.00","100.00","03/03/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12600.6""","""@40253 / CAT SCALE""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","8325.00","100.00","04/01/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12600.7""","""@40254 / CAT SCALE""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","8325.00","100.00","05/05/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12635.1""","""@40226 / MYERS PARK""","1","0","0.00","0.00","0.00","","","0.00","0.00","143.54","1664.92","0.00","","1047.00","0.00","2855.46","-2855.46","","","4958.63","42.41","12/30/25","6406","SHERMAN HILL ASSOCIATION","","0.00","0.00","0.00","","","20.500",""
"""12635.2""","""@40229 / MYERS PARK""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","150.00","100.00","12/06/25","6406","SHERMAN HILL ASSOCIATION","","0.00","0.00","0.00","","","0.000",""
"""12645.1""","""@40396 / The Back Nine""","1","0","257.01","12.50","15.45","","","0.00","284.96","87.00","419.84","0.00","","260.00","0.00","766.84","-481.88","","","1260.98","39.19","12/23/25","6366","THE BACK NINE","","0.00","0.00","284.96","","","6.250","0.500"
