"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1020.1""","""@24SET / MAID-RITE""","1","1","721.96","712.54","1366.88","","","","0.00","2801.38","0.00","0.00","0.00","","","","0.00","0.00","2801.38","4252.27","34.12","4252.27","100.00","02/28/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","02/28/08","1020","0.000","55.500"
"""1020.2""","""@PERMIT / MAID-RITE""","1","1","0.00","0.00","0.00","","","15.00","0.00","15.00","0.00","0.00","0.00","","","","0.00","0.00","15.00","200.00","92.50","200.00","100.00","02/28/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","02/28/08","1020","0.000",""
"""1020.3""","""@2980 / MAID-RITE""","1","1","10.89","125.12","228.98","","","","0.00","364.99","11.75","380.15","0.00","","","","0.00","391.90","-26.91","507.20","28.04","507.20","22.73","02/28/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","02/28/08","1020","101.000","7.500"
"""1020.4""","""@TRAVEL / MAID-RITE""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","450.00","100.00","450.00","100.00","02/28/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","02/28/08","1020","0.000",""
"""1020.5""","""@REBATE / MAID-RITE""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","317.99","100.00","317.99","100.00","02/28/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","02/28/08","1020","0.000",""
"""1021.2""","""@INTERIOR2 / MAID-RITE""","1","1","710.59","433.60","892.24","","","","0.00","2036.43","0.00","0.00","0.00","","","","0.00","0.00","2036.43","673.20","-202.50","673.20","100.00","01/30/08","69850","MAID-RITE COMPANY","F","0.00","0.00","0.00","12/28/07","1021","0.000","29.000"
"""1107""","""219-1141 1/2"" x 8"" Top Plate""","20","20","122.81","0.00","0.00","","","","0.00","122.81","0.00","0.00","0.00","","","","0.00","0.00","122.81","","","0.00","","09/30/08","","","F","283.00","0.00","0.00","","","0.000",""
"""1115.1""","""@1277 / HOLMES HONDA""","1","1","234.72","882.33","1923.70","","2871.92","","0.00","5912.67","29.06","2839.40","0.00","","2410.00","","0.00","5278.46","634.21","7246.71","18.41","7246.71","27.16","02/29/08","2211","HOLMES HONDA","F","0.00","0.00","0.00","02/29/08","1115","52.500","57.750"
"""1115.2""","""@SERVICE / HOLMES HONDA""","1","1","0.00","919.08","2021.98","","3063.40","","0.00","6004.46","0.00","0.00","0.00","","","","0.00","0.00","6004.46","6950.22","13.61","6950.22","100.00","02/29/08","2211","HOLMES HONDA","F","0.00","0.00","0.00","02/29/08","1115","0.000","53.750"
"""1136.1""","""@T&M / MAURICE LEBLOND""","1","0","0.00","0.00","52.27","","","","0.00","52.27","0.00","0.00","0.00","","","","0.00","0.00","52.27","","","1152.00","100.00","02/29/08","18600","CAT SCALE","F","0.00","0.00","0.00","","","0.000","5.500"
"""1202.1""","""@1684 / CHARLEYÇS GRILLED SUBS""","1","1","921.92","740.78","1355.62","","","","0.00","3018.32","0.00","0.00","0.00","","","","0.00","0.00","3018.32","4154.00","27.34","4154.00","100.00","01/28/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","01/28/08","1202","0.000","52.750"
"""1202.2""","""@1685 / CHARLEYÇS GRILLED SUBS""","1","1","1104.33","805.70","1474.46","","","","0.00","3384.49","0.00","0.00","0.00","","","","0.00","0.00","3384.49","3957.00","14.47","3957.00","100.00","01/28/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","01/28/08","1202","0.000","57.250"
"""1202.3""","""@1686 / CHARLEYÇS GRILLED SUBS""","1","1","0.00","0.00","0.00","","540.76","","0.00","540.76","0.00","0.00","0.00","","","","0.00","0.00","540.76","745.00","27.41","745.00","100.00","01/28/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","01/28/08","1202","0.000",""
"""1202.4""","""@1687 / CHARLEYÇS GRILLED SUBS""","1","1","0.00","0.00","0.00","","2448.88","","0.00","2448.88","0.00","0.00","0.00","","","","0.00","0.00","2448.88","3582.00","31.63","3582.00","100.00","01/28/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","01/28/08","1202","0.000",""
"""1222.1""","""@1744 / GOODYEAR INVENTORY""","1","1","0.00","3568.44","5880.90","","","","0.00","9449.34","0.00","0.00","0.00","","","","0.00","0.00","9449.34","1525.00","-519.63","1525.00","100.00","10/30/08","50250","GOODYEAR","F","0.00","0.00","0.00","10/23/08","1222","0.000","311.000"
"""1230.1""","""@MONUMENT / BRIDGEWOOD PLAZA""","0","0","753.57","812.24","996.21","","187.06","","0.00","2749.08","0.00","0.00","0.00","","","","0.00","0.00","2749.08","","","0.00","","09/30/08","2239","BRUMMEL, MADSEN & ASSOCIATES, INC","F","0.00","0.00","0.00","","","0.000","56.750"
"""1230.2""","""@INSTALL / BRIDGEWOOD PLAZA""","1","0","0.00","18.75","33.75","","","","0.00","52.50","0.00","0.00","0.00","","","","0.00","0.00","52.50","","","0.00","","09/30/08","2239","BRUMMEL, MADSEN & ASSOCIATES, INC","F","0.00","0.00","0.00","","","0.000","1.250"
"""1230.3""","""@ELECTRIC / BRIDGEWOOD PLAZA""","1","0","0.00","0.00","0.00","","","","0.00","310.52","0.00","0.00","0.00","","","","0.00","0.00","310.52","","","0.00","","09/30/08","2239","BRUMMEL, MADSEN & ASSOCIATES, INC","F","0.00","0.00","0.00","","","0.000",""
"""1230.4""","""@MASON / BRIDGEWOOD PLAZA""","1","0","0.00","0.00","0.00","","1120.50","","0.00","1120.50","0.00","0.00","0.00","","","","0.00","0.00","1120.50","","","0.00","","09/30/08","2239","BRUMMEL, MADSEN & ASSOCIATES, INC","F","0.00","0.00","0.00","","","0.000",""
"""1237.1""","""@KUM&GO / NAGLE SIGNS, INC.""","25","25","24556.33","11382.31","20845.23","","","","0.00","56783.87","0.00","0.00","0.00","","","","0.00","0.00","56783.87","73300.00","22.53","73300.00","100.00","02/29/08","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/29/08","1237","0.000","869.000"
"""1243.1""","""@1429 / HOLIDAY INN & SUITES/J""","1","1","1741.68","2438.79","4541.11","","1098.00","","0.00","9819.58","2498.84","5324.00","0.00","","50.00","","0.00","7872.84","1946.74","8724.00","-12.56","8724.00","9.76","03/18/08","52800","HEART OF AMERICA RESTAURANTS &","F","0.00","0.00","0.00","02/11/08","1243","116.000","163.000"
