"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/24 - 12/31/24"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""10820.10""","""@36896 / CHAMPION XPRESS CARWW""","1","1","0.00","0.00","0.00","","","0.00","0.00","14.50","568.19","0.00","","","0.00","582.69","-582.69","980.00","100.00","980.00","40.54","04/30/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/30/24","10820-3","6.000",""
"""10820.11""","""@36897 / CHAMPION XPRESS CARWW""","1","1","0.00","468.00","866.75","","","0.00","1334.75","14.50","568.19","0.00","","","0.00","582.69","752.06","980.00","-36.20","980.00","40.54","04/30/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/30/24","10820-3","6.000","24.500"
"""10820.12""","""@36898 / CHAMPION XPRESS CARWW""","1","1","0.00","712.76","1320.35","","","0.00","2033.11","51.04","1079.68","0.00","","","0.00","1130.72","902.39","1913.00","-6.28","1913.00","40.89","06/24/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","06/17/24","10820-4","11.000","36.750"
"""10820.13""","""@36899 / CHAMPION XPRESS CARWW""","1","1","0.00","60.00","111.60","","","0.00","171.60","0.00","378.27","0.00","","","0.00","378.27","-206.67","524.03","67.25","524.03","27.82","06/24/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","06/17/24","10820-4","6.500","2.500"
"""10820.14""","""@36900 / CHAMPION XPRESS CARWW""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","150.00","100.00","150.00","100.00","04/02/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/02/24","10820-2","0.000",""
"""10820.7""","""@34194 / CHAMPION XPRESS CARWW""","1","1","0.00","23.50","21.86","","","0.00","45.36","0.00","0.00","0.00","","","0.00","0.00","45.36","150.00","69.76","150.00","100.00","01/31/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","01/31/24","10820","0.000","1.000"
"""10820.8""","""@36894 / CHAMPION XPRESS CARWW""","1","1","238.80","192.13","341.80","","2567.00","16.72","3356.45","440.44","1293.07","0.00","","2567.00","0.00","4300.51","-944.06","6493.00","48.31","6493.00","33.77","04/11/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/02/24","10820-2","19.750","8.500"
"""10820.9""","""@36895 / CHAMPION XPRESS CARWW""","1","1","78.67","0.00","0.00","","","5.51","84.18","13.34","397.09","0.00","","","0.00","410.43","-326.25","694.00","87.87","694.00","40.86","04/30/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/30/24","10820-3","4.000",""
"""11160.1""","""@35053A / CHAMPION XPRESS CARW""","1","1","0.00","725.27","1343.63","","3137.00","0.00","5205.90","0.00","626.02","0.00","","3137.00","0.00","3763.02","1442.88","4942.80","-5.32","4942.80","23.87","03/07/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","03/05/24","11160","11.000","32.750"
"""11160.2""","""@35055 / CHAMPION XPRESS CARWA""","1","1","0.00","290.51","537.36","","","0.00","827.87","82.36","1586.85","0.00","","","0.00","1669.21","-841.34","2241.73","63.07","2241.73","25.54","03/07/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","03/05/24","11160","14.000","12.750"
