"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/10"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","","243.62","199.86","179.89","","","","0.00","623.37","335.01","689.81","0.00","","","","0.00","1024.82","-401.45","","","5040.00","79.67","03/07/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","623.37","","","16.250","18.500"
"""2952.2""","""@7936 / RE/MAX REAL ESTATE CON""","1","","224.01","304.38","273.97","","","","0.00","802.36","836.96","1102.00","0.00","","360.00","","0.00","2298.96","-1496.60","2853.52","71.88","2853.52","19.43","12/23/10","2948","RE/MAX REAL ESTATE CONCEPTS","C","0.00","0.00","802.36","01/20/11","2952","31.000","48.250"
"""2979.1""","""@6897A / Gander Mountain""","1","","2870.48","539.37","505.69","","","","0.00","3915.54","3427.16","1246.40","0.00","","","","0.00","4673.56","-758.02","6964.46","43.78","6964.46","32.89","08/24/10","2196","GANDER MOUNTAIN COMPANY","C","0.00","0.00","3915.54","04/19/11","2979","41.000","39.250"
"""2979.2""","""@6897B / Gander Mountain""","1","","30.75","11.75","10.58","","","","0.00","53.08","1122.47","623.20","0.00","","","","0.00","1745.67","-1692.59","2621.24","97.98","2621.24","33.40","08/24/10","2196","GANDER MOUNTAIN COMPANY","C","0.00","0.00","53.08","04/19/11","2979","20.500","8.000"
"""2979.3""","""@6898 / Gander Mountain""","1","","573.41","11.63","10.47","","","","0.00","595.51","644.39","288.80","0.00","","","","0.00","933.19","-337.68","1502.39","60.36","1502.39","37.89","08/24/10","2196","GANDER MOUNTAIN COMPANY","C","0.00","0.00","595.51","04/19/11","2979","9.500","8.000"
"""2990.1""","""@6294 / WEST DES MOINES COMMUN""","1","","1119.21","468.69","583.61","","0.00","","0.00","2171.51","12.50","3315.80","0.00","","1784.05","","0.00","5112.35","-2940.84","7819.40","72.23","7819.40","34.62","08/23/10","2966","CITY OF WEST DES MOINES PARKS & REC","C","0.00","0.00","2171.51","04/07/11","2990","64.000","53.000"
"""3090.1""","""@prep / Bonanza""","1","","115.46","240.50","432.90","","","","0.00","788.86","0.00","0.00","0.00","","","","0.00","0.00","788.86","1098.19","28.17","1098.19","100.00","10/01/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","788.86","01/05/11","3090","0.000","18.500"
"""3090.2""","""@Survey / Bonanza""","1","","0.00","35.75","64.35","","","","0.00","100.10","0.00","0.00","0.00","","","","0.00","0.00","100.10","147.02","31.91","147.02","100.00","10/01/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","100.10","01/05/11","3090","0.000","2.750"
"""3090.3""","""@Service / Bonanza""","1","","156.58","113.00","203.40","","0.00","","0.00","472.98","0.00","0.00","0.00","","","","0.00","0.00","472.98","659.87","28.32","659.87","100.00","10/01/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","472.98","01/05/11","3090","0.000","8.500"
"""3104.2""","""@8589 / SOUTH STORY BANK & TRU""","1","","0.00","50.50","90.90","","0.00","","23.38","164.78","672.54","3719.60","0.00","","676.68","","0.00","5068.82","-4904.04","7688.27","97.86","7688.27","34.07","02/28/11","3008","KIRK GROSS COMPANY","C","0.00","0.00","164.78","04/11/11","3104","78.500","29.500"
"""3109.2""","""@8028 / SPENCER DREAM CENTER""","1","1","9125.48","2879.78","2821.33","","1652.90","","0.00","16479.49","3148.82","8868.80","0.00","","6055.96","","0.00","18073.58","-1594.09","27481.58","40.03","27556.65","34.41","11/12/10","3009","SPENCER DREAM CENTER","C","0.00","0.00","16479.49","12/31/10","3109","226.000","170.000"
"""3110.1""","""@7815 / BOB BROWN PRE-OWNED CE""","1","","234.28","657.50","943.65","","1278.80","","0.00","3114.23","1694.48","4360.00","0.00","","1079.00","","0.00","7133.48","-4019.25","9781.11","68.16","9781.11","27.07","10/08/10","2979","BOB BROWN PRE-OWNED CENTER","C","0.00","0.00","3114.23","01/31/11","3110","87.000","107.500"
"""3110.2""","""@electrical / BOB BROWN PRE-OW""","1","","0.00","0.00","0.00","","100.00","","0.00","100.00","0.00","0.00","0.00","","","","0.00","0.00","100.00","125.00","20.00","125.00","100.00","12/16/10","2979","BOB BROWN PRE-OWNED CENTER","C","0.00","0.00","100.00","01/31/11","3110","0.000",""
"""3111.1""","""@8132 / BOB BROWN (PATTISON SI""","1","","0.00","26.00","46.80","","","","0.00","72.80","0.00","779.00","0.00","","","","0.00","779.00","-706.20","999.78","92.72","999.78","22.08","10/11/10","3010","PATTISONID","C","0.00","0.00","72.80","01/28/11","3111","15.500","21.500"
"""3150.1""","""@7282 / TACO JOHNÇS""","1","","1314.44","0.00","0.00","","0.00","","0.00","1314.44","0.00","447.20","0.00","","1420.38","","0.00","1867.58","-553.14","2742.14","52.07","2746.48","32.00","11/17/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","1314.44","01/21/11","3150","7.000",""
"""3151.1""","""@7281 / TACO JOHNÇS""","1","","576.36","0.00","0.00","","0.00","","0.00","576.36","13.20","363.90","0.00","","695.94","","0.00","1073.04","-496.68","1551.30","62.85","1594.45","32.70","11/17/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","576.36","01/21/11","3151","6.000",""
"""3152.1""","""@7280 / TACO JOHNÇS""","1","","1162.04","0.00","0.00","","0.00","","0.00","1162.04","33.00","483.30","0.00","","1267.38","","0.00","1783.68","-621.64","2639.08","55.97","2646.80","32.61","11/17/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","1162.04","01/28/11","3152","8.000",""
"""3153.1""","""@7279 / TACO JOHNÇS""","1","","910.66","0.00","0.00","","0.00","","0.00","910.66","26.40","591.60","0.00","","1007.16","","0.00","1625.16","-714.50","2431.23","62.54","2456.10","33.83","11/03/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","910.66","01/21/11","3153","11.000",""
"""3154.1""","""@7278 / TACO JOHNÇS""","1","","1312.12","0.00","0.00","","0.00","","0.00","1312.12","33.00","483.30","0.00","","1420.38","","0.00","1936.68","-624.56","2885.69","54.53","2890.03","32.99","11/17/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","1312.12","01/28/11","3154","8.000",""
"""3156.1""","""@awnings / TACO JOHNÇS""","1","","0.00","48.75","87.75","","0.00","","0.00","136.50","0.00","0.00","0.00","","","","0.00","0.00","136.50","1152.18","88.15","1152.18","100.00","11/04/10","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","136.50","01/18/11","3156","0.000","3.750"
"""3174.1""","""@8359 / PIONEER""","1","","32.67","12.19","10.98","","","","1.96","57.80","258.88","465.20","0.00","","","","0.00","724.08","-666.28","0.00","","0.00","","12/03/10","87350","PIONEER","C","0.00","0.00","57.80","02/04/11","3174","11.500","0.750"
"""3183.1""","""@7425 / SEARS, ROEBUCK AND CO.""","1","","270.99","0.00","0.00","","0.00","","0.00","270.99","355.50","1048.20","0.00","","160.68","","0.00","1564.38","-1293.39","2538.42","89.32","2538.42","38.37","12/13/10","3046","SEARS, ROEBUCK AND CO.","C","0.00","0.00","270.99","01/19/11","3183","26.250","27.500"
"""3190.1""","""@8376 / BEAUTY & SOUL SALON/DA""","1","","1089.28","0.00","0.00","","","","0.00","1089.28","29.00","613.80","0.00","","1089.28","","0.00","1732.08","-642.80","2553.04","57.33","2553.04","32.16","12/17/10","2893","BEAUTY & SOUL SALON/DAY SPA","C","0.00","0.00","1089.28","01/11/11","3190","9.000","7.000"
"""3191.1""","""@8241A / ST HOWARD""","1","","558.55","43.38","53.68","","","","0.00","655.61","143.73","524.10","0.00","","516.70","","0.00","1184.53","-528.92","7230.11","90.93","1918.06","38.24","12/30/10","2174","ST HOWARD DEVELOPMENT","C","0.00","0.00","655.61","01/24/11","3191","13.750","63.750"
"""3196.1""","""@8314 / HUXLEY BUSINESS PARK""","1","","0.00","151.25","194.63","","","","0.00","345.88","89.52","1108.70","0.00","","","","0.00","1198.22","-852.34","1941.89","82.19","1941.89","38.30","12/30/10","3029","CITY OF HUXLEY","C","0.00","0.00","345.88","01/20/11","3196","26.000","39.500"
"""3200.1""","""@8320 / ASSOCIATED""","1","","816.71","494.20","444.81","","0.00","","0.00","1755.72","941.34","1807.60","0.00","","905.68","","0.00","3654.62","-1898.90","5497.32","68.06","5497.32","33.52","12/02/10","3055","ASSOCIATED","C","0.00","0.00","1755.72","01/19/11","3200","48.000","41.750"
"""3213.1""","""@8494 / MEDICAP PHARMACY""","1","","208.23","55.13","49.62","","","","0.00","312.98","1346.51","2100.90","0.00","","10266.74","","0.00","13714.15","-13401.17","9455.81","96.69","18511.61","25.92","01/14/11","3062","GRX HOLDINGS, LLC.","C","0.00","0.00","312.98","01/31/11","3213","52.000","89.000"
"""3214.1""","""@8409 / CHARLEYÇS GRILLED SUBS""","1","","636.53","518.57","466.76","","142.61","","0.00","1764.47","770.26","975.05","0.00","","210.00","","0.00","1955.31","-190.84","3162.49","44.21","3162.49","38.17","12/28/10","3063","CHARLEY'S GRILLED SUBS","C","0.00","0.00","1764.47","01/21/11","3214","28.250","31.000"
"""3217.1""","""@8477 / PIONEER""","1","","8.83","8.32","7.49","","","","0.53","25.17","6.27","136.80","0.00","","","","0.00","143.07","-117.90","0.00","","197.44","27.54","12/30/10","87350","PIONEER","C","0.00","0.00","25.17","02/04/11","3217","3.000","0.500"
"""3218.1""","""@8515 / NASJRB AFB MAIN STORE""","1","","461.64","403.76","363.42","","","","0.00","1228.82","0.00","0.00","0.00","","","","0.00","0.00","1228.82","3243.86","62.12","3243.86","100.00","12/30/10","2463","TRIMARK FOODCRAFT","C","0.00","0.00","1228.82","01/07/11","3218","0.000","26.500"
"""3218.2""","""@8516 / NASJRB AFB MAIN STORE""","1","","90.58","0.00","0.00","","","","0.00","90.58","0.00","0.00","0.00","","","","0.00","0.00","90.58","2203.93","95.89","2203.93","100.00","12/30/10","2463","TRIMARK FOODCRAFT","C","0.00","0.00","90.58","01/07/11","3218","0.000",""
"""3219.1""","""@8495 / Performance Tire & Ser""","1","","268.61","0.00","0.00","","","","0.00","268.61","431.19","258.40","0.00","","","","0.00","689.59","-420.98","1141.50","76.47","1141.50","39.59","12/22/10","85300","PERFORMANCE TIRE & SERVICE","C","0.00","0.00","268.61","01/19/11","3219","8.500","5.750"
"""3222.1""","""@8465 / BEAUTY & SOUL SALON/DA""","1","","218.40","74.50","67.05","","","","0.00","359.95","549.64","1656.20","0.00","","88.64","","0.00","2294.48","-1934.53","3670.24","90.19","3670.24","37.48","01/07/11","2893","BEAUTY & SOUL SALON/DAY SPA","C","0.00","0.00","359.95","01/11/11","3222","46.250","23.500"
"""3230.10""","""@7970 / TACO JOHNÇS""","1","","20.31","3.88","3.49","","","","24.41","52.09","364.85","380.00","0.00","","","","0.00","744.85","-692.76","1295.78","95.98","1295.78","42.52","01/17/11","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","52.09","02/28/11","3230","12.500","16.500"
"""3230.3""","""@7676 / TACO JOHNÇS""","1","","8.83","7.75","6.98","","","","2.85","26.41","39.23","53.20","0.00","","","","0.00","92.43","-66.02","127.35","79.26","127.35","27.42","01/17/11","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","26.41","02/28/11","3230","1.750","1.750"
"""3230.9""","""@7969 / TACO JOHNÇS""","1","","40.62","3.88","3.49","","","","39.36","87.35","649.71","562.40","0.00","","","","0.00","1212.11","-1124.76","2092.89","95.83","2092.89","42.08","01/17/11","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","87.35","02/28/11","3230","18.500","21.750"
"""3232.1""","""@8447 / CLARION POLICE DEPARTM""","1","","0.00","3.88","3.49","","489.26","","0.00","496.63","17.40","684.00","0.00","","495.43","","0.00","1196.83","-700.20","1796.82","72.36","1796.82","33.39","01/20/11","3068","CLARION POLICE DEPARTMENT","C","0.00","0.00","496.63","01/27/11","3232","15.000","12.250"
"""3233.2""","""@8003A / ALTOONA SMILES PC FAM""","1","","0.00","31.88","28.69","","","","0.00","60.57","695.50","1942.20","0.00","","156.00","","0.00","2793.70","-2733.13","4490.97","98.65","4490.97","37.79","01/17/11","3069","ALTOONA SMILES PC FAMILY DENTISTRY","C","0.00","0.00","60.57","01/31/11","3233","53.500","44.250"
"""3236.1""","""@Faces / NAGLE SIGNS, INC.""","1","","0.00","4.25","3.83","","","","0.00","8.08","0.00","0.00","0.00","","","","0.00","0.00","8.08","345.89","97.66","345.89","100.00","12/28/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","8.08","02/07/11","3236","0.000","1.500"
"""3246.1""","""@Debrand / Kum & Go/ QuiznoÇs""","1","","0.00","60.00","108.00","","","","0.00","168.00","0.00","0.00","0.00","","","","0.00","0.00","168.00","300.00","44.00","300.00","100.00","12/29/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","168.00","01/18/11","3246","0.000","3.250"
"""3758.1""","""@9914 / BANKERS TRUST""","1","","0.00","45.00","81.00","","","","0.00","0.00","0.00","174.80","0.00","","1350.00","","0.00","1524.80","-1524.80","2380.21","100.00","2380.21","35.94","10/17/11","3253","BANKERS TRUST","C","0.00","0.00","0.00","12/27/11","3758","3.500","3.000"
"""62477""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","2815.01","407.47","366.75","","","","0.00","3589.23","2627.91","318.00","0.00","","","","0.00","2945.91","643.32","","","0.00","","01/31/08","","","C","0.00","0.00","3589.23","","","20.000","29.250"
"""62857""","""221-0190 STANDARD CAT SCALE SP""","1","","120.53","154.75","139.29","","","","0.00","414.57","412.24","127.20","0.00","","","","0.00","539.44","-124.87","","","0.00","","02/19/09","","","C","0.00","0.00","414.57","","","8.000","10.250"
"""62941""","""221-0190 STANDARD CAT SCALE SP""","1","","388.83","151.00","135.91","","","","0.00","675.74","394.38","127.20","0.00","","","","0.00","521.58","154.16","","","0.00","","06/24/09","","","C","0.00","0.00","675.74","","","8.000","10.000"
"""62978""","""202-1300 RACEWAY END CAPS""","20","","0.00","18.75","16.88","","","","0.00","35.63","28.80","159.00","0.00","","","","0.00","187.80","-152.17","","","0.00","","09/10/09","","","C","0.00","0.00","35.63","","","10.000","1.250"
"""63114""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","842.54","153.38","138.04","","","","0.00","1133.96","807.50","127.20","0.00","","","","0.00","934.70","199.26","","","0.00","","04/28/10","","","C","1107.39","0.00","26.57","","","8.000","9.250"
"""63194""","""221-0190 STANDARD CAT SCALE SP""","1","","334.58","87.25","78.53","","","","0.00","500.36","326.75","127.20","0.00","","","","0.00","453.95","46.41","","","0.00","","07/30/10","","","C","0.00","0.00","500.36","","","8.000","6.500"
"""63267""","""221-0210 5'-4 1/2"" X 20' HIGH""","1","","335.23","29.94","26.95","","","","0.00","392.12","3360.38","318.00","0.00","","","","0.00","3678.38","-3286.26","","","0.00","","09/03/10","","","C","0.00","0.00","392.12","","","20.000","21.250"
