"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/16"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""64649""","""221-0190 STANDARD CAT SCALE SP""","1","","451.18","94.50","87.89","","","0.00","633.57","396.84","308.80","0.00","","","0.00","705.64","-72.07","","","0.00","","11/20/14","","","C","0.00","0.00","633.57","","","8.000","9.250"
"""65336""","""221-0330 5'-4 1/2"" X 20' HURRI""","1","","1117.01","386.63","359.57","","","0.00","1863.21","1151.96","0.00","0.00","","","0.00","1151.96","711.25","","","0.00","","09/20/16","","","C","0.00","0.00","1863.21","","","0.000","24.000"
"""65370""","""221-0220 5'-4 1/2"" X 20' HURRI""","1","","2700.55","493.69","459.18","","","0.00","3653.42","3160.07","0.00","0.00","","","0.00","3160.07","493.35","","","0.00","","10/13/16","","","C","0.00","0.00","3653.42","","","0.000","32.250"
"""65371""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","111.05","32.69","30.40","","","0.00","174.14","2787.81","772.00","0.00","","","0.00","3559.81","-3385.67","","","0.00","","10/13/16","","","C","0.00","0.00","174.14","","","20.000","34.750"
"""65425""","""202-0500 8"" ANGLE IRON BRACKET""","1","","61.20","88.00","81.84","","","0.00","231.04","1.02","0.23","0.00","","","0.00","1.25","229.79","","","0.00","","11/14/16","","","C","0.00","0.00","231.04","","","0.006","5.500"
"""65432""","""219-0155 ANGLE IRON MOUNTING B""","1","","55.58","66.50","61.86","","","0.00","183.94","0.88","2.32","0.00","","","0.00","3.20","180.74","","","0.00","","11/15/16","","","C","0.00","0.00","183.94","","","0.060","9.750"
"""65439""","""219-1141 1/2"" x 8"" Top Plate""","1","","0.00","0.00","0.00","","1480.21","0.00","1480.21","7.28","57.90","0.00","","","0.00","65.18","1415.03","","","0.00","","11/25/16","","","C","0.00","0.00","1480.21","","","1.500",""
"""65442""","""221-0190 STANDARD CAT SCALE SP""","1","","443.58","166.50","154.89","","","0.00","764.97","400.63","308.80","0.00","","","0.00","709.43","55.54","","","0.00","","11/28/16","","","C","0.00","0.00","764.97","","","8.000","10.500"
"""65443""","""221-0190 STANDARD CAT SCALE SP""","1","","502.96","136.50","126.98","","","0.00","766.44","400.63","308.80","0.00","","","0.00","709.43","57.01","","","0.00","","11/28/16","","","C","0.00","0.00","766.44","","","8.000","9.250"
"""65444""","""221-0190 STANDARD CAT SCALE SP""","1","","452.53","125.00","116.27","","","0.00","693.80","400.63","308.80","0.00","","","0.00","709.43","-15.63","","","0.00","","11/28/16","","","C","0.00","0.00","693.80","","","8.000","8.250"
