"15 FEB 2026","18:12:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/08 through 12/31/08",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",

"1020","02/28/08","CHANNL","1020.1","","4252.27","4966.67","-714.40","-16.80","","364.65","","","","","","69850","MAID-RITE COMPANY","JOEP","","","","","","3","MAID-RITE","PELLA","IA",
"1020","02/28/08","PRMT","1020.2","","200.00","15.00","185.00","92.50","","","","","","","","69850","MAID-RITE COMPANY","JOEP","","","","","","3","MAID-RITE","PELLA","IA",
"1020","02/28/08","VINYL","1020.3","2980","507.20","364.99","142.21","28.04","","","391.90","461.06","15.00","","","69850","MAID-RITE COMPANY","JOEP","","","","","","3","MAID-RITE","PELLA","IA",
"1020","02/28/08","INSTL","1020.4","","450.00","0.00","450.00","100.00","","","","","","","","69850","MAID-RITE COMPANY","JOEP","","","","","","3","MAID-RITE","PELLA","IA",
"1020","02/28/08","OUTS","1020.5","","317.99","0.00","317.99","100.00","","","","","","","","69850","MAID-RITE COMPANY","JOEP","","","","","","3","MAID-RITE","PELLA","IA",
"1020","","","Invoice Totals","","5727.46","5346.66","380.80","6.65","0.00","364.65","391.90","461.06","15.00","","","69850","MAID-RITE COMPANY","JOEP","","","","","",

"10455-1","03/31/08","INSTL","10455-1","","6434.03","0.00","6434.03","100.00","","","","","","","","107250","TACO JOHN'S","BRIANT","","","","","","DEFAULT","Taco Johns","Coralville","IA",
"10455-1","","","Invoice Totals","","6434.03","0.00","6434.03","100.00","0.00","0.00","0.00","0.00","","","","107250","TACO JOHN'S","BRIANT","","","","","",

"10455CR","03/31/08","INSTL","10455CR","","-6434.03","0.00","-6434.03","100.00","","","","","","","","109950","TACO JOHN'S / STEAK ESCAPE","BRIANT","","","","","","DEFAULT","TACO JOHN'S / STEAK ESCAPE","Cheyenne","WY",
"10455CR","","","Invoice Totals","","-6434.03","0.00","-6434.03","100.00","0.00","0.00","0.00","0.00","","","","109950","TACO JOHN'S / STEAK ESCAPE","BRIANT","","","","","",

"10585-1","02/27/08","MONMNT","10585-1","","2385.29","0.00","2385.29","100.00","","","","","","","","107000","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN'S","Cheyenne","WY",
"10585-1","","","Invoice Totals","","2385.29","0.00","2385.29","100.00","0.00","0.00","0.00","0.00","","","","107000","TACO JOHN'S","BRIANT","","","","","",

"10688-1","02/27/08","MISC","10688-1","","215.00","0.00","215.00","100.00","","","","","","","","107000","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN'S","Cheyenne","WY",
"10688-1","","","Invoice Totals","","215.00","0.00","215.00","100.00","0.00","0.00","0.00","0.00","","","","107000","TACO JOHN'S","BRIANT","","","","","",

"1115","02/29/08","SRVCE","1115.1","1277","7246.71","5912.67","1334.04","18.41","","851.82","5278.46","7246.71","27.16","","","2211","HOLMES HONDA","JOEP","","","","","","DEFAULT","HOLMES HONDA","DES MOINES","IA",
"1115","02/29/08","SRVCE","1115.2","","6950.22","6004.46","945.76","13.61","","","","","","","","2211","HOLMES HONDA","JOEP","","","","","","DEFAULT","HOLMES HONDA","DES MOINES","IA",
"1115","","","Invoice Totals","","14196.93","11917.13","2279.80","16.06","0.00","851.82","5278.46","7246.71","27.16","","","2211","HOLMES HONDA","JOEP","","","","","",

"1202","01/28/08","CHANNL","1202.1","1684","4154.00","3018.32","1135.68","27.34","230.00","","0.00","","","4154.00","100.00","21100","CHARLEY'S GRILLED SUBS","MIKEE","","","","","","2","CHARLEY´S GRILLED SUBS","LAS CRUCES","NM",
"1202","01/28/08","CHANNL","1202.2","1685","3957.00","3384.49","572.51","14.47","","","0.00","","","3957.00","100.00","21100","CHARLEY'S GRILLED SUBS","MIKEE","","","","","","2","CHARLEY´S GRILLED SUBS","LAS CRUCES","NM",
