"15 FEB 2026","18:21:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/17 through 12/31/17",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"8093","06/23/17","INSTL","4129","A-D DISTRIBUTING CO.","0.00","0.00","0.00","","","","","","","","","39","IOWA DEPT. OF TRANSPORTATION - A-D DISTRIBUTING CO., INC.","ANKENY","IA",
"","","INSTL","","Product Totals","0.00","0.00","0.00","","0.00","",

"7895","02/07/17","MISC","5024","JEFF ROLAND","34.72","22.23","12.49","35.97","","","","","","","","DEFAULT","JEFF ROLAND","MELCHER","IA",
"8018","04/26/17","MISC","2906","AMERICAN MARKING","90.00","54.23","35.77","39.74","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8033","07/31/17","MISC","4779","EAGLE SIGN CO.","0.00","582.80","-582.80","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"8037","05/03/17","MISC","4547","DANA GREFE","30.80","15.84","14.96","48.57","","","","","","","","DEFAULT","DANA GREFE","WOODWARD","IA",
"8067","06/07/17","MISC","5087","COLFAX-MINGO BOOSTER CLUB","556.70","340.26","216.44","38.88","-617.66","","","","","","","DEFAULT","COLFAX-MINGO BOOSTER CLUB","COLFAX","IA",
"8067","06/07/17","MISC","5087","COLFAX-MINGO BOOSTER CLUB","20.55","12.43","8.12","39.51","","","","","","","","DEFAULT","COLFAX-MINGO BOOSTER CLUB","COLFAX","IA",
"8100","06/06/17","MISC","2906","AMERICAN MARKING","0.00","1.97","-1.97","","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8100","06/06/17","MISC","2906","AMERICAN MARKING","25.00","0.00","25.00","100.00","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8187","08/07/17","MISC","2906","AMERICAN MARKING","30.00","8.20","21.80","72.67","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8284","09/26/17","MISC","5161","ELITE ELECTRIC & UTILITY CONTRACTORS INC.","155.44","77.72","77.72","50.00","","","","","","","","DEFAULT","ELITE ELECTRIC & UTILITY CONTRACTORS INC.","DALLAS CENTER","IA",
"8291","09/30/17","MISC","42250","FAREWAY STORES","25.00","11.76","13.24","52.96","","","","","","","","DEFAULT","FAREWAY STORES","Boone","IA",
"8304","09/30/17","MISC","5169","PARKS AREA FOUNDATION","925.00","0.00","925.00","100.00","","","","","","","","DEFAULT","PARKS AREA FOUNDATION","DES MOINES","IA",
"8319","10/11/17","MISC","2906","AMERICAN MARKING","185.20","96.40","88.80","47.95","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8361","11/08/17","MISC","5191","JERRY SCOTT","115.00","56.25","58.75","51.09","","","","","","","","DEFAULT","JERRY SCOTT","NEWTOWN","MO",
"","","MISC","","Product Totals","2193.41","1280.09","913.32","41.64","-617.66","",

"8020","04/26/17","SRVCE","4358","NICK HOVE","93.59","62.40","31.19","33.33","","","","","","","","DEFAULT","NICK HOVE","BAGLEY","IA",
"SC4745","01/09/17","SRVCE","4988","TASTY TACO","0.00","165.54","-165.54","","","","","","","","","DEFAULT","TASTY TACO","DES MOINES","IA",
"SC4885","04/05/17","SRVCE","5033","TIME O MATIC- WATCHFIRE","573.75","347.49","226.26","39.44","","","","","","","","1","FAIRWAY OUTDOOR ADVERTISING - WATCHFIRE / TIME O MATIC","DES MOINES","IA",
"SC4907","04/28/17","SRVCE","77950","NAGLE SIGNS  INC.","120.00","82.95","37.05","30.88","","","","","","","","155","KUM & GO - NAGLE SIGNS","ANKENY","IA",
"","","SRVCE","","Product Totals","787.34","658.38","128.96","16.38","0.00","",

"8170","07/28/17","VINYL","4779","EAGLE SIGN CO.","0.00","130.60","-130.60","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"","","VINYL","","Product Totals","0.00","130.60","-130.60","","0.00","",

"","","","","Salesperson  Totals","2980.75","2069.07","911.68","30.59","-617.66","",

"7796","01/05/17","INSTL","56450","IMAGE RESOURCE GROUP","385.72","197.03","188.69","48.92","","ADAM","0.030","","","","","1","MUTUAL OF OMAHA--IMAGE RESOURCE GROUP","CLIVE","IA",
"8075","06/29/17","INSTL","3534","ADVANCE SIGN GROUP  LLC","2200.80","1564.90","635.90","28.89","","ADAM","0.030","","","","","2","CINEMARK","WEST DES MOINES","IA",
"8124","06/29/17","INSTL","5109","SERIGRAPHICS SIGN SYSTEM","451.04","225.50","225.54","50.00","","ADAM","0.030","","","","","1","STAHL CONSTRUCTION","URBANDALE","IA",
"8158","07/20/17","INSTL","3534","ADVANCE SIGN GROUP  LLC","592.22","162.91","429.31","72.49","","ADAM","0.030","","","","","2","CINEMARK","WEST DES MOINES","IA",
