Code,Description
000,INITIAL CUSTOMER CONTACT,Y
010,ONSITE SURVEY,Y
020,DIGITAL PICTURES TAKEN,Y
030,RECEIVE CUSTOMER ARTWORK,Y
040,CONSTRUCTION NARRATIVE WRITTEN,Y
050,SKETCH REQUESTED,Y
060,AWAITING ADDITIONAL DESIGN INFORMATION,Y
080,SKETCH COMPLETED,Y
090,SKETCH APPROVED BY CUSTOMER,Y
100,ENGINEERING REQUEST,Y
110,AWAITING ADDITIONAL ENGINEERING INFORMATION,Y
120,ENGINEERING COMPLETED,Y
260,REDO SKETCH REQUEST,Y
270,REDO SKETCH COMPLETED,Y
130,BID REQUEST,Y
140,AWATING ADDITIONAL BID INFORMATION,Y
160,SUBMITTED VENDOR REQUESTS,Y
170,AWAITING VENDOR REQUEST,Y
180,RECEIVED VENDOR REQUEST,Y
190,BID COMPLETED,Y
280,REDO BID REQUEST,Y
290,REDO BID COMPLETE,Y
200,GENERATE PROPOSAL,Y
210,CUSTOMER PRESENTATION,Y
230,CUSTOMER CONTEMPLATING,Y
220,CUSTOMER ACCEPTANCE,Y
240,LOST PROJECT,Y
245,CLOSED - OTHER OPTION CHOSEN,Y
250,NO DECISION - CLOSED,Y
DS,DIRECT SALE,Y
