Code,Description,"Sales
Account","Material
Account","Labor
Account","Burden
Account","Outplant
Account","Use Tax 
Account"
01,DO NOT USE - SEE DROP DOW,9999,9999,9999,9999,9999,
ADA,ADA SIGNAGE,3010,4010,4011,4012,4013,5290
ALUM,ALUMINUM PANELS,3010,4010,4011,4012,4013,5290
ART,ARTWORK,3010,4010,4011,4012,4013,5290
AWNING,AWNINGS - ALL TYPES,3010,4010,4011,4012,4013,5290
BANNER,BANNERS,3010,4010,4011,4012,4013,5290
BLDG,BUILDING SIGNS,3010,4010,4011,4012,4013,5290
CASTMT,CAST METAL LETTERS,3010,4010,4011,4012,4013,5290
CHANNL,CHANNEL LETTERS,3020,4020,4021,4022,4023,5290
CHNG,CHANGEABLE COPY SIGNAGE,3010,4010,4011,4012,4013,5290
DRCT,DIRECTIONAL SIGNS,3010,4010,4011,4012,4013,5290
ELMSTT,ELECTRONIC SIGNS,3010,4010,4011,4012,4013,5290
FALU,FORMED ALUMINUM,3010,4010,4011,4012,4013,5290
FLAG,"FLAGS, FLAG POLES & ACCES",3010,4010,4011,4012,4013,5290
FRT,FREIGHT - SHIPPING CHARGE,3140,4010,4011,4012,4013,5290
GRAPHC,PRINTED GRAPHICS,3010,4010,4011,4012,4013,5290
GRAVEH,VEHICLE GRAPHICS,3010,4010,4011,4012,4013,5290
INSTL,INSTALLATION,3030,4030,4031,4032,4033,5290
INT,INTERIOR SIGNS,3010,4010,4011,4012,4013,5290
LIFTS,CRANE SERVICE,3080,4010,4081,4082,4083,5290
MISC,MISCELLANEOUS SALE,3010,4010,4011,4012,4013,5290
MONMNT,MONUMENT SIGNS,3010,4010,4011,4012,4013,5290
NEON,NEON SIGNAGE,3010,4010,4011,4012,4013,5290
OUTS,OUTSOURCING,3010,4010,4011,4012,4013,5290
PLCUT,CUT PLASTIC/ACRYLIC LETTE,3010,4010,4011,4012,4013,5290
PLFORM,FORMED PLASTIC LETTERS,3010,4010,4011,4012,4013,5290
PLYWD,MDO PLYWOOD SIGNS,3010,4010,4011,4012,4013,5290
PRMT,PERMITTING,3010,4010,4011,4012,4013,5290
PYLON,PYLON SIGNS,3010,4010,4011,4012,4013,5290
REPFCE,REPLACEMENT FACES,3010,4010,4011,4012,4013,5290
RTLT,ROUTED LETTERS,3010,4010,4011,4012,4013,5290
SRVCE,SERVICE,3070,4070,4071,4072,4073,5290
SURVEY,SURVEY,3010,4010,4011,4012,4013,5290
VINYL,VINYL GRAPHICS,3010,4010,4011,4012,4013,5290
WARART,WARRANTY - ART,3010,4010,4011,4012,4013,5290
WARFRA,WARRANTY - FRANCHISE,3010,4010,4011,4012,4013,5290
WARINT,WARRANTY - INTERCOMPANY,3010,4010,4011,4012,4013,5290
WARMFG,WARRANTY - MANUFACTURING,3010,4010,4011,4012,4013,5290
WARVIN,WARRANTY - VINYL,3010,4010,4011,4012,4013,5290
