Code,Description,Account,Rate,S/U,"Jur
State","Jur
Type",Tax Cap,"Taxable
Amt Cap",,Assoc Tax,"Total 
Rate"
AR,ARKANSAS STATE TAX-070113,2140,6.5000,S,AR,State,,,,,6.5000
ARCADD,CADDO VALLEY AR,2140,10.0000,S,AR,Local,,,,,10.0000
ARCC,ARKANSAS CITY/COUNTY TAX,2140,2.0000,S,AR,County,,,,,2.0000
ARCONS,Conway Arkansas Sales,2140,8.7500,S,AR,Local,,,,,8.7500
ARCRAW,Crawford county,2140,1.7500,S,AR,County,,,,,1.7500
ARFORT,Fort Smith Arkansas,2140,2.0000,S,AR,Local,,,,AR. ARSEBA,9.7500
ARFRAN,FRANKLIN COUNTY,2140,2.0000,S,AR,Local,,,,,2.0000
ARJEFF,Jefferson AR,2140,1.2500,S,AR,Local,,,,,1.2500
ARLITT,Little Rock Sales Tax Arkansas,2140,9.0000,S,AR,Local,,,,,9.0000
ARMILS,MILLER COUNTY ARKANSAS SALES,2140,1.2500,S,AR,County,,,,,1.2500
ARNLIT,North Little Rock Arkansas,2140,2.0000,S,AR,Local,,,,AR. ARPULA,9.5000
AROZAR,OZARK ARKANSAS,2140,2.0000,S,AR,Local,,,,AR. ARFRAN,10.5000
ARPINE,Pine Bluff AR,2140,2.2500,S,AR,Local,,,,AR. ARJEFF,10.0000
ARPOPE,POPE COUNTY ARKANSAS,2140,1.0000,S,AR,County,,,,,1.0000
ARPULA,Pulaski county Arkansas Sales,2140,1.0000,S,AR,County,,,,,1.0000
ARRTEX,TEXARKANA SALES TAX,2140,10.2500,S,AR,Local,,,,,10.2500
ARRUSS,Russellville Arkansas,2140,1.5000,S,AR,Local,,,,AR. ARPOPE,9.0000
ARSALS,Saline Arkansas,2140,0.3750,S,AR,Local,,,,AR,6.8750
ARSEAR,Searcy Arkansas,2140,9.7500,S,AR,Local,,,,,9.7500
ARSEBA,Sebastian Arkansas,2140,1.2500,S,AR,County,,,,,1.2500
ARSHER,Sherwood Arkansas Sales Tax,2140,1.0000,S,AR,Local,,,,AR. ARPULA,8.5000
ARSPRI,Springdale Arkansas Sales Tax,2140,2.0000,S,AR,Local,,,,AR. ARWASH,9.7500
ARVAN,Van Buren,2140,2.0000,S,AR,Local,,,,AR. ARCRAW,10.2500
ARWASH,Washington County,2140,1.2500,S,AR,County,,,,,1.2500
XX,CA,DO NOT USE AFTER 06/30/11,2140,8.2500,S,CA,,,,,,8.2500
CABAK,Bakersfield CA,2140,8.2500,S,CA,Local,,,,,8.2500
CACHIN,Chino CA Sales,2140,8.7500,S,CA,Local,,,,,8.7500
CACLOV,Clovis CA,2140,7.9750,S,CA,Local,,,,,7.9750
CAFRES,Fresno CA,2140,8.3500,S,CA,Local,,,,,8.3500
CAJUR,JURUPA VALLEY CA,2140,7.7500,S,CA,Local,,,,,7.7500
CALODI,LODI CA,2140,8.2500,S,CA,Local,,,,,8.2500
CALOSA,Los Angeles California,2140,2.2500,S,CA,Local,,,,CASLS,9.5000
CAMODE,MODESTO CA,2140,7.8750,S,CA,Local,,,,,7.8750
CANOTT,CA NOT TAXABLE,2140,0.0000,U,CA,,,,,,0.0000
CAORAN,Orange county California,2140,0.5000,S,CA,County,,,,CASLS,7.7500
CAPALM,Palm Springs CA,2140,9.2500,S,CA,Local,,,,,9.2500
CAREDS,Redding CA Tax,2140,7.2500,S,CA,Local,,,,,7.2500
CARIV,Riverside California,2140,1.5000,S,CA,Local,,,,CASLS,8.7500
CASACR,Sacramento CA,2140,8.7500,S,CA,Local,,,,,8.7500
CASADI,San Diego California Tax,2140,1.5000,S,CA,Local,,,,CASLS,8.7500
CASAN,San Francisco CA TAX,2140,1.2500,S,CA,Local,,,,CASLS,8.5000
CASANB,San Bernadino CA Tax,2140,0.5000,S,CA,Local,,,,CASLS,7.7500
CASANF,SANTA FE SPRINGS CA,2140,10.5000,S,CA,Local,,,,,10.5000
CASANT,Santa Clara California County,2140,1.2500,S,CA,County,,,,CASLS,8.5000
CASANU,SANTA CLARA CA USE TAX,2140,8.0000,U,CA,Local,,,,,8.0000
CASARO,SANTA ROSA CALIFORNIA,2140,0.2500,S,CA,Local,,,,CASLS. CASON,8.2500
CASLS,California Sales Tax,2140,7.2500,S,CA,State,,,,,7.2500
CASON,Sonoma County,2140,0.7500,S,CA,County,,,,CASLS,8.0000
CASTAN,Stanislaus County CA,2140,0.1250,S,CA,County,,,,CASLS,7.3750
CASTOC,Stockton California,2140,9.0000,S,CA,Local,,,,,9.0000
CATHOU,Thousand Palms California,2140,7.7500,S,CA,Local,,,,,7.7500
CATULA,TULARE CA,2140,8.2500,S,CA,Local,,,,,8.2500
CATURL,Turlock California Tax,2140,0.1250,S,CA,Local,,,,CASLS,7.3750
CAVAS,Visalia CA sales tax,2140,8.5000,S,CA,Local,,,,,8.5000
CAVICT,Victorville CA,2140,8.7500,S,CA,Local,,,,,8.7500
CAWEED,Weed CA Sales Tax,2140,7.5000,S,CA,Local,,,,,7.5000
CO,COLORADO RETAILERS USE TAX,2140,2.9000,U,CO,State,,,,,2.9000
COBERT,Berthoud Sales tax,2140,6.9000,S,CO,Local,,,,,6.9000
COBOUL,Boulder CO,2140,0.8000,U,CO,Local,,,,,0.8000
CODENS,Denve CO Sales,2140,5.1500,S,CO,Local,,,,COSALE. COSPES,9.1500
COEAGS,Eagle CO Sales,2140,6.0000,S,CO,Local,,,,COSALE,8.9000
COEVAN,Evans CO Sales Tax,2140,4.5000,S,CO,Local,,,,COSALE,7.4000
COGRAJ,GRAND JUNCTION CO,2140,3.2500,S,CO,Local,,,,COSALE. COMESA,8.5200
COLONG,Longmont CO use,2140,3.2750,U,CO,Local,,,,CO. COSC. COBOUL,8.0750
COLOVE,Loveland CO Sales,2140,6.7000,S,CO,Local,,,,,6.7000
COMESA,MESA COUNTY,2140,2.3700,S,CO,Local,,,,,2.3700
COPUEB,PUEBLO CO SALES TAX,2140,7.6000,S,CO,Local,,,,,7.6000
CORTD,RTD FD CD,2140,1.0000,U,CO,,,,,CO,3.9000
COSALE,Colorado Sales Tax,2140,2.9000,S,CO,State,,,,,2.9000
COSC,SC and RTD,2140,1.1000,U,CO,,,,,,1.1000
COSPES,Colorado Special District Sales,2140,1.1000,S,CO,Local,,,,,1.1000
DONATI,DONATION,2140,0.0000,S,IA,Local,,,,,0.0000
FLAGIA,FLAG POLE IA,2140,0.0000,S,IA,,0.00,,,,0.0000
XX,GOV,DO NOT USE,2140,5.0000,U,IA,State,,,,SCHUSE,6.0000
GOVT,Governmental 05-12-08,2140,0.0000,S,IA,State,,,,,0.0000
XX,IA,5% Iowa Sales Tax,2140,5.0000,S,IA,State,,,,,5.0000
IA01,IA Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
