Code,Description,"Product
Description","Construction
Description","Formula
Pricing","Price
per Unit"
1,"CAT SCALE STANDARD POLES
(SET OF 2)",,,Y,
2,"CAT SCALE STANDARD
INTERCOM SIGN",,,Y,
2X15CHARLE,"2´ X 15´ X 5"" Cabinet
With Neon Channel
Letters",,,Y,
3,"5´ X 20´ CAT SCALE -
STANDARD OVERHEAD",,,Y,
4,"24785-000 R48-8 (5)
48.5"" X 21.25"" S/F Ryko",,,Y,
4X18CAT,4´ X 18´ CAT SCALE,,,Y,
4X2FRRYKO,"24785-007 (1) 48.5"" X
21.25"" 8-Section
8-Switch FRENCH",,,Y,
4X2RYKO,"24785-008 (1) 48.5"" X
21.25"" 8-Section
8-Switch ENGLISH",,,Y,
5,"24"" Winestyles Remote
ref:2885",,,Y,
5X3RYKOR60,"5´-1 1/2"" X 3´ RYKO SIGN
#24785-006",,,Y,
6,"24"" Remote Winestyles w/
12"" Wine&Gifts ref:2948",,,Y,
7,"24"" x 15´ x 5"" CHARLEY´S
GRILLED SUBS LED CHANNEL
LETTERS ON 5"" HINGED
CABINET",,,Y,
8,"18"" PumpItUp, w/ logo
and tagline on raceway
ref:2544",,,Y,
9,"(5) sets of 36"" FAREWAY
LED Channel Letters",,,Y,
AWNING,Awning - Non-Illuminated,Awning - non-illuminated,,Y,
AWNING-LIT,Awning - Illuminated,Illuminated awning.,,Y,
BANNER,Banner,,,Y,
BLADE,"Illuminated projecting
blade sign",Illuminated projecting blade sign.,,Y,
CANOPY,"AMERICANA/MAPES WALL
MOUNTED AWNING","Americana (square downrods only)
or Mapes style (turnbuckle
downrods) wall mounted canopies",,Y,
CATCANOPY,5X20 Canopy,"Canopy structure, custom graphics.
Canopy, four sided - (2) 5' 4 1/2""
x 20' single face Small A-frame
cabinets on front and back (front
and back to have custom vinyl CAT
graphics), with flex faces,
internal LED illumination; sides
of canopy: (2) 5' 4 1/2"" x 10' x
.090 panels on aluminum square
tube frames mounted on both ends
of canopy, non-illuminated,
painted to match CAT Scale Yellow
; mounted on (2) poles; support
steel structure with drainage
system and .080 soffit (black on
underside and white on top); wire
mesh over top; (6) LED lights
installed on underside of canopy.
Includes intercom sign;
(installation, permits, taxes and
shipping not included)","Ship to 6/17/24 to arrive early AM
on 6/20/24 Ship to: Maverick 2359
California Ave. Salt Lake City, UT
84104 coordinate off-loading with
Impact Signs, Bryan Bates,
801-972-5101 Bill to CAT,
Walcott; PO# 258209 $76,409.33
(1) canopy structure (incl poles
and intercom); + shipping",Y,
CL-RACEWAY,"Channel Letters -
Raceway/Illuminated","Illuminated channel letters -
raceway mounted",,Y,
CL-REMOTE,"Channel Letters -
Remote/Lit","Illuminated Channel Letters;
Remote Mount",,Y,
CL-REV-NON,"Channel Letters -
Reverse/Non-Lit","Channel letters, remote mount,
non-illuminated",add travel if necessary.,Y,
CL-REVERSE,"Channel Letters -
Reverse/Lit",Reverse Lit channel letters.,,Y,
EMC,WATCHFIRE MOMUMENTS,,,Y,
GARSPECIAL,Gar Special,,"Gar Special - Non-lit, 1"" alum
tube frame, alum face",Y,
GOOSENECK,Gooseneck Lights,Gooseneck lights,"Will vary based on project (color,
size, bulb, etc.) 8/29/2012 -
arm($20.00), gooseneck($100.67),
bulb($35.46)",Y,
HUR5X20CAT,Hurricane 5 X 20 Cat,,,Y,
HVEXEMPLAR,"48"" HyVeeExemplarCare",,,Y,
HW5X20CAT,"(1) 170 mph 5x20, WITH
NRG 4500 LED LIGHTING","(1) 170 mph 5x20, WITH NRG 4500
LED LIGHTING",,Y,
HWCATPOLES,"CAT SCALE HIGH WIND
POLES (SET OF 2)",,,Y,
INTERCOM,"(1) intercom LED, NRG
Bar 4500 LEDs and power
supply","(1) intercom LED, NRG Bar 4500
LEDs and power supply",,Y,
KUMGO58X12,"(25) 58""X123"" D/F Kum&Go
Monument ID lit oval
signs",,,Y,
LEDCONVERT,LED CONVERSION,Convert Fluorescent Lamps to LEDs,,Y,
MAINLINE,Mainline Panel - Iowa DOT,,,Y,
POSTPANEL,"5"" Post & Panel non-lit
directional",,,Y,
POSTPANEL3,"3"" Post & Panel non-lit
directional",,,Y,
RAMP,Ramp Panel - Iowa DOT,,,Y,
TJ1075REM,"TACO JOHN´S 10-3/4
REMOTE LED CHANNEL
LETTERS",,,Y,
TJ10EYE,TACO JOHN´S 10´ EYEBROW,,,Y,
TJ12PYLON,"TACO JOHN´S TJ12 PYLON
SIGN WITH DRIVE THRU",,,Y,
TJ12RBFACE,"TACO JOHN´S TJ12 READER
BOARD FACES",,,Y,
TJ1413CAP,"TACO JOHN´S 1´-2 3/4"" X
13´-4 3/4"" FRESH TASTE
CAPSULE SIGN",,,Y,
TJ1442PEP,"TACO JOHN'S 14"" X 42""
SALSA WITH PEPPERS",,,Y,
TJ1725REM,"TACO JOHN´S 17-1/4""
REMOTE LED CHANNEL
LETTERS",,,Y,
TJ18EYE,TACO JOHN´S 18´ EYEBROW,,,Y,
TJ215REM,"TACO JOHN´S 21-1/2""
REMOTE LED CHANNEL
LETTERS",,,Y,
TJ24CL,"TACO JOHN 24"" L.E.D LIT
CHANNEL LETTER",,,Y,
TJ30HRTG,"TACO JOHN´S 30"" HERITAGE
LOGO",,,Y,
TJ60HRTG,"TACO JOHN´S 60"" HERITAGE
LOGO",,,Y,
TJ7PYLON,"TACO JOHN'S D/F TJ7
PYLON SIGN w/ READER
BOARD",,,Y,
TJ8PYLON,"TACO JOHN´S D/F TJ8
PYLON SIGN w/ READER
BOARD",,,Y,
TJPREP,"TACO JOHN´S WE PREPARE
PLAQUE",,,Y,
TJPROM,"TACO JOHN´S WE PROMISE
PLAQUE",,,Y,
TJSALSA,"TACO JOHN´S 18"" X 40""
LED SALSA SIGN",,,Y,
