Code,Description,"Work
Dept","Default
Work Code
Division","Crew
Size","Runtime
Speed","Qty Not
Affected","Labor
Rate","Burden
$/Labor
Hour","Burden
%/Labor
Dollars","Labor
Markup","Labor 
List 
Price"
0098,PERMIT SUBMITTED,0099,,1,,,22.00,,93%,1.75,75.00
0099,PERMIT RECEIVED,0099,,1,,,22.00,,93%,1.75,75.00
0110,SKETCHING,0100,,1,,,27.00,$24.37,,1.46,75.00
0120,PRINTING,0100,,1,,,27.00,$24.43,,1.75,90.00
0130,LAYOUT,0100,,1,,,27.00,$24.43,,1.75,90.00
0200,FABRICATION LAYOUT,0200,,1,,,27.00,$24.43,,1.75,90.00
0210,SHEET METAL,0200,,1,,,27.00,$24.43,,1.75,90.00
0215,STRUCTURAL STEEL,0200,,1,,,27.00,$24.43,,1.75,90.00
0220,EXTRUSIONS,0200,,1,,,27.00,$24.43,,1.75,90.00
0230,CHANNEL LETTERS,0200,,1,,,27.00,$24.43,,1.75,90.00
0235,ROUTING,0200,,1,,,27.00,$24.43,,1.75,90.00
0240,FLAT CUT OUT LETTERS,0200,,1,,,27.00,$24.43,,1.75,90.00
0250,AWNINGS,0200,,1,,,27.00,$24.43,,1.75,90.00
0260,FACES,0200,,1,,,27.00,$24.43,,1.75,90.00
0270,MISC FABRICATION,0200,,1,,,27.00,$24.43,,1.75,90.00
0280,CRATING & SHIPPING,0200,,1,,,27.00,$24.43,,1.75,90.00
0282,CHECK IN FREIGHT,0200,,1,,,27.00,$24.43,,1.75,90.00
0310,BALLAST WIRING,0300,,1,,,27.00,$24.43,,1.75,90.00
0315,NEON PATTERN,0300,,1,,,27.00,$24.43,,1.75,90.00
0320,NEON WIRING,0300,,1,,,27.00,$24.43,,1.75,90.00
0330,NEON BENDING,0300,,1,,,27.00,$24.43,,1.75,90.00
0340,ELECTRICAL WIRING,0300,,1,,,27.00,$24.43,,1.75,90.00
0410,CLEAN AND ETCH,0400,,1,,,27.00,$24.43,,1.75,90.00
0420,PRIME AND FINISH,0400,,1,,,27.00,$24.43,,1.75,90.00
0430,SPRAY PAINTING FACES,0400,,1,,,27.00,$24.43,,1.75,90.00
0510,LAYOUT,0500,,1,,,27.00,$24.43,,1.75,90.00
0520,CUT AND/OR WEED VINYL,0500,,1,,,27.00,$24.43,,1.75,90.00
0530,PRINTED GRAPHICS,0500,,1,,,27.00,$24.43,,1.75,90.00
0550,VINYL APPLICATION,0500,,1,,,27.00,$24.43,,1.75,90.00
0605,FOOTING - INSTALLATION,0600,,1,,,33.50,$45.38,,1.61,127.00
0610,LOAD/UNLOAD,0600,,1,,,33.50,$34.50,,1.25,85.00
0612,INSTALL - NO CRANE,0600,,1,,,33.50,$34.99,,1.46,100.00
0615,WIRING - INSTALLATION,0600,,1,,,33.50,$45.38,,1.61,127.00
0620,TRAVEL,0600,,1,,,33.50,$39.83,,1.50,110.00
0621,DELIVER/MILEAGE,0800,,1,,,33.50,$45.38,,1.61,127.00
0625,REMOVAL,0600,,1,,,33.50,$45.38,,1.61,127.00
0630,1 MAN & TRUCK INSTALL,0600,,1,,,33.50,$45.38,,1.61,127.00
0640,2 MEN & TRUCK INSTALL,0600,,1,,,67.00,$90.41,,1.62,255.00
0650,3 MEN & TRUCK INSTALL,0600,,1,,,100.50,$133.05,,1.52,355.00
0710,LOAD/UNLOAD,0700,,4,,,33.50,$34.50,,1.25,85.00
0720,SERVICE,0700,,1,,,33.50,$39.83,,1.50,110.00
0810,travel-see mileage charge,0800,,1,,,33.50,$39.83,,1.50,110.00
0811,TRAVEL (QUOTING),0600,,1,,,33.50,$39.83,,1.50,110.00
0815,SURVEY,0600,,1,,,33.50,$39.83,,1.50,110.00
0820,SERVICE LABOR,0700,,1,,,33.50,$39.83,,1.50,110.00
0825,SCRAP/JUNK,0600,,1,,,33.50,$34.50,,1.25,85.00
0830,DELIVERY,0200,,1,,,33.50,$39.83,,1.50,110.00
5200,CLEAN & MAINTAIN SHOP,5200,,1,,,27.00,$24.43,,1.75,90.00
5300,ESTIMATING TIME,5300,,1,,,27.00,$24.43,,1.75,90.00
5310,STAFF TIME - PERMITTING,5300,,1,,,27.00,$24.43,,1.75,90.00
5320,ADMINSTRATIVE,5300,,1,,,35.00,$33.49,,1.46,100.00
9100,ART DEPT OVERTIME,0100,,1,,,40.50,$37.43,,1.45,113.00
9200,FABRICATION OVERTIME,0200,,1,,,40.50,$37.43,,1.45,113.00
9300,ELECTRICAL OVERTIME,0300,,1,,,40.50,$37.43,,1.45,113.00
9400,PAINT DEPT OVERTIME,0400,,1,,,40.50,$37.43,,1.45,113.00
9500,VINYL DEPT OVERTIME,0500,,1,,,40.50,$37.43,,1.45,113.00
9600,INSTALL OVERTIME 1 MAN,0600,,1,,,50.25,$54.20,,1.46,152.50
9640,2 MEN & TRUCK INSTALL O/T,0600,,1,,,100.50,$98.20,,1.54,306.00
9650,3 MEN 2 TRUCKS O/T,0600,,1,,,150.75,$143.04,,1.45,426.00
9700,SERVICE LABOR - OVERTIME,0700,,1,,,50.25,$46.81,,1.36,132.00
9800,OVERTIME TRAVEL,0600,,1,,,50.25,$46.81,,1.36,132.00
9820,LOAD/UNLOAD OVERTIME,0600,,1,,,50.25,$46.81,,1.36,132.00
